cve_ageb,n_intersections,n_intersection_density,n_street_density,p_poi_density,p_employment_proxy,p_retail_density,p_service_density,p_land_use_mix,pe_population,pe_pop_density,pe_marginacion,pe_rezago,pe_dep_ratio,pe_youth_share,n_intersections_n,n_intersection_density_n,n_street_density_n,p_poi_density_n,p_employment_proxy_n,p_retail_density_n,p_service_density_n,p_land_use_mix_n,pe_population_n,pe_pop_density_n,pe_marginacion_n,pe_rezago_n,pe_dep_ratio_n,pe_youth_share_n
1500501430501,265.86639866136954,38.438515469113675,49350.70796872912,246.64714092681274,80.0,108.90912716248874,19.219257734556837,1.203772315120157,2632,8430.847726225598,123.074910106637,1.0,0.39925571504518875,0.17743161094224924,0.8986813806086649,0.7615990176311963,0.9655550777252037,0.6101987712126175,0.4675043867846458,0.5289055878485655,0.49566714720325805,0.7454855457957305,0.8318961342299397,0.8602350398053058,0.0872566806902838,0.25,0.5313403125037475,0.5829895788102475
1500500340380,56.09658667139753,3.272300889164856,19935.6863416258,168.75723156978756,180.0,84.14488000709629,8.41448800070963,1.176500166619021,5054,2362.601241977026,114.632804471488,3.0,0.4904158065467414,0.17926394934705184,0.6506354546229375,0.30096199253063033,0.8845694562092559,0.568393157731812,0.5530431872717587,0.5001738122092516,0.3696522409173053,0.7285961454871993,0.900790989879668,0.7392062772539097,0.3453286247072559,0.75,0.6526586297652123,0.5890101192831703
1500500040215,42.11808900666214,3.3694471205329712,17519.929524074425,85.07853979345752,295.0,41.837301746617726,5.054170680799457,1.2098120387304279,7929,2226.3621848921607,116.054612270583,3.0,0.45566366807416925,0.18262075923823937,0.6054658356003132,0.305621843925836,0.8730288362427313,0.49321332271486373,0.6053700733912069,0.4228640644708899,0.2968671550593435,0.7492258931982281,0.9483516718856565,0.7335567121853878,0.30186450348100446,0.75,0.6064095432265261,0.6000396374970721
1500500350499,30.971491685116565,2.693173190010136,14944.836960170185,75.94748395828583,120.0,36.62715538413785,4.039759785015204,1.1655438493610704,3877,1044.1432457669298,112.103096346997,3.0,0.5483226837060703,0.1777147278823833,0.5573530901823132,0.2707722712396424,0.8588258446227257,0.48079935674046287,0.5102011740841107,0.408269330930986,0.26663406081377883,0.721810995132467,0.8727939920800526,0.6615516892176956,0.42266083561501444,0.75,0.729722669293041,0.5839198201849737
1500500370395,75.69972570714938,2.76950216001766,22003.57960789466,132.93610368084768,120.0,66.46805184042384,12.001176026743194,1.289618173116285,3595,3318.7867550878295,117.079266184861,3.0,0.4560550830295666,0.1855354659248957,0.6981137394938829,0.27501201305992357,0.893387082935823,0.5421556835650847,0.5102011740841107,0.4739854196775566,0.4228666784114647,0.7986491262325827,0.8648195136270497,0.7715338665030821,0.2705412247836445,0.75,0.6069304488438594,0.6096165308960858
1500500010361,98.12364844297623,20.301444505443357,24959.668001785743,358.6588529294993,60.0,121.80866703266014,33.8357408424056,1.2840091359129073,951,3217.778954112772,121.538421856048,1.0,0.48130841121495327,0.1640378548895899,0.7393693552796506,0.6339382155515025,0.9046494101939893,0.6515079332976607,0.43733617055870233,0.5413947206069378,0.5853511436182887,0.7951754991118832,0.7244415033879802,0.768593532546776,0.13422653950581398,0.25,0.6405382615417048,0.5389815232086526
1500501650516,229.72869394037548,19.9764081687283,49613.15066125255,284.6638164043783,120.0,164.8053673920085,19.9764081687283,1.0186584487497536,3227,16115.967290121558,121.758516622318,2.0,0.43998215082552433,0.2008057018903006,0.8752754230668557,0.6307513997406984,0.9660289517971091,0.6260084336293718,0.5102011740841107,0.5751781857494828,0.5017277930431578,0.630846165929511,0.8534162178706902,0.9218858250951107,0.1274983265866616,0.5,0.5855401556099084,0.6597901633538448
1500500450342,48.84795509928926,3.565544167831333,18582.018153193814,128.359590041928,455.0,61.68391410348206,7.487642752445799,1.253677643520108,11746,4188.088179534684,116.217658556854,3.0,0.3095716198125837,0.15026391963221522,0.6287960682930923,0.3147204754596149,0.8782871226112874,0.5383068735367,0.651342670209773,0.46570807707807926,0.352566636933884,0.776391474195188,0.9898567912150104,0.7936666890258899,0.29688024080043385,0.75,0.4119862910287768,0.49372430736299283
1500501650520,217.019082908361,38.1249740244418,47381.041140740504,228.7498441466508,20.0,149.56720578819474,5.865380619144892,0.9373554829401705,5636,16528.642584750305,121.34912415677,2.0,0.4616182572614108,0.18062455642299502,0.866161134818439,0.7599447494798597,0.961916031082166,0.6018944702580512,0.32389215239562336,0.5643286239198978,0.31759704009968714,0.5804959584358965,0.9123014736990731,0.9242917562664645,0.1400132978528329,0.5,0.6143340716937573,0.5934806853898408
1500500010450,132.83798721164948,42.976995862592474,30381.109732986686,375.07196389171617,80.0,218.79197893683443,15.627998495488173,1.0421654620745806,966,3774.1616366603935,121.344823531526,1.0,0.40816326530612246,0.17908902691511386,0.7876693388930738,0.7841737260572811,0.9222109144179867,0.6564480333826417,0.4675043867846458,0.6068998825573003,0.46342961547965633,0.6454038513309542,0.7260928003703131,0.7837661330248017,0.14014476632351702,0.25,0.5431947214976216,0.5884353741496597
1500500010164,128.19311255309563,34.513530302756514,23714.348402842737,1587.6223939267998,920.0,796.2764491278824,160.24139069136953,1.2158049187448516,1104,2721.6383895887993,122.407291542779,1.0,0.44881889763779526,0.1431159420289855,0.781987502902369,0.7398729364972375,0.900076702761003,0.8159544236755759,0.7261279847509112,0.7519117080022595,0.8379558513550357,0.752937230776211,0.740183507506573,0.752663491561796,0.10766552512825223,0.25,0.5973003374578177,0.4702380952380952
