city,n_agebs,n_municipalities,mean_vehicle_rate,mean_transit_prop,cve_ent
ZMG (Guadalajara),1881,10,0.577,0.423,14
Toluca (W9 run),538,16,0.5290629133936802,0.4709370866063199,15
