cve_ageb,npp_score,equity_score,final_score,priority_rank,priority_quintile
0100100012649,0.521584517792056,0.21546021760571327,0.46035965775478743,187,3
0100100012032,0.47872623049410035,0.2703427469908515,0.4370495337934506,208,3
0100100013990,0.4892916192032212,0.44409979599414967,0.48025325456140694,142,4
0100100014471,0.368671095480191,0.03980826456705165,0.30289852929756317,310,1
0100100010799,0.5408487700594268,0.2696288504779291,0.4866047861431273,120,4
0100100011693,0.5167679829963362,0.23190066972572845,0.45979452034221463,188,3
0100100012278,0.47560370898560567,0.0920576221371491,0.3988944916159144,238,2
0100100012507,0.5355465739593949,0.26704944540014997,0.48184714824754593,137,4
0100100012263,0.4535415591773875,0.0394787689672073,0.3707290011353515,260,2
0100100013825,0.5116897103676183,0.21091551296997124,0.45153487088808897,200,3
0100100012634,0.5353075608077887,0.2790188107710311,0.48404981080043724,133,4
0100100012013,0.4113849339531112,0.04743896117967585,0.33859573939842413,285,1
0100100012988,0.47569020005040086,0.23788891600715362,0.42812994324175146,217,2
0100100012884,0.45528375757152445,0.05552935644371815,0.3753328773459632,255,2
0100100010873,0.5240025307068392,0.24968673148321965,0.4691393708621153,171,3
0100100012719,0.582888252045142,0.24244673112638354,0.5147999478613904,89,4
0100100012812,0.5292563368012574,0.30404315207314314,0.48421369985563456,132,4
0100100013261,0.4738382444458164,0.04408527203393355,0.38788764996343983,243,2
0100100011689,0.5025409665074789,0.2718405138356035,0.45640087597310386,193,3
0100100011744,0.6198442151236696,0.4683717690151238,0.5895497259019605,35,5
0100100010869,0.5134831411552176,0.0612627767574792,0.42303906827566995,223,2
0100100012460,0.4221742250443714,0.0480612765209286,0.3473516353396829,276,2
0100100010642,0.49518109611441025,0.06570945306171085,0.4092867675038704,232,2
0100100010835,0.513233157771322,0.07734495234527244,0.4260555166861121,221,2
0100100014081,0.38575518406785186,0.0,0.30860414725428154,305,1
0100100010290,0.5237166575668951,0.0470501013841472,0.4283833463303456,215,2
0100100013045,0.5400695728522191,0.26464027240546384,0.4849837127628681,128,4
0100100012259,0.5076277304629138,0.05573334050239365,0.41724885247080973,226,2
0100100014058,0.3663438164021903,0.023448309221158,0.29776471496598383,314,1
0100100012494,0.6007362615741689,0.446610746446239,0.569911158548583,46,5
0100100013153,0.4673297392714614,0.2706394850646288,0.4279916884300949,218,2
0100100013238,0.6217277416082986,0.5709841667544311,0.6115790266375252,13,5
0100100012564,0.5314095415347085,0.21918233879276777,0.4689641009863204,173,3
0100100012314,0.5256036368773649,0.23098412604054616,0.4666797347100012,177,3
0100100011975,0.4472960625224596,0.07714569273201895,0.3732659885643715,257,2
0100100010623,0.5026005137857253,0.0810818530763935,0.418296781643859,225,2
0100100011354,0.418269627013206,0.0622944364725897,0.3470745889050828,278,2
0100100010286,0.4965197906126076,0.0531077279153445,0.40783737807315495,233,2
0100100010746,0.5212150660832364,0.23557829664191096,0.46408771219497136,181,3
0100100013098,0.4153439061801944,0.02797493121474475,0.3378701111871045,286,1
0100100010337,0.5726370027262406,0.31422501349655263,0.520954604880303,85,4
0100100012969,0.5402118078353404,0.2616383123469435,0.48449710873766105,130,4
0100100010638,0.5124889182765552,0.0814833174012334,0.4262877981014908,220,2
0100100011462,0.4767678475939936,0.2855075263368703,0.43851578334256897,206,3
0100100010445,0.5930737411477047,0.4908717645994654,0.5726333458380569,43,5
0100100013581,0.25969576216431184,0.0454809343327663,0.21685279659800274,342,1
0100100013079,0.41082914771109974,0.0415418255640441,0.33697168328168864,288,1
0100100012047,0.5256240970587959,0.30058381841634274,0.4806160413303053,141,4
0100100012456,0.221032225552593,0.0442262841552576,0.18567103727312595,349,1
0100100012297,0.5732273576734681,0.24962301358545186,0.5085064888558648,94,4
0100100012526,0.4060848529722565,0.04960428466554195,0.33478873931091363,291,1
0100100010888,0.4782061517731057,0.10260767169895316,0.40308645575827523,236,2
0100100011316,0.491899700035206,0.29379875190889876,0.4522795104099446,199,3
0100100012846,0.4934308607555595,0.28359812010291935,0.4514643126250315,201,3
0100100012579,0.5160513470401727,0.24831537576914756,0.46250415278596774,185,3
0100100014429,0.16108693116803086,0.03210035416139415,0.1352896157667035,354,1
0100100010229,0.4092644193428643,0.083301231397996,0.3440717817538907,281,2
0100100012210,0.648349426503306,0.5417933568156441,0.6270382125657736,9,5
0100100013295,0.44562869171980674,0.0642445707794044,0.36935186753172633,263,2
0100100012117,0.5319087688940314,0.23876255844771405,0.4732795268047679,162,3
0100100013064,0.5102306424857258,0.27781433402369177,0.46374738079331906,182,3
0100100012780,0.5186559164226898,0.25787960721122677,0.46650065458039724,178,3
0100100012865,0.45312698390405065,0.2688287280017763,0.41626733272359584,227,2
0100100014414,0.3657983623161457,0.0491717588914558,0.30247304163120775,311,1
0100100010464,0.45778866761221965,0.0605535751335093,0.3783416491164776,251,2
0100100010426,0.6333126187252115,0.49883973512739543,0.6064180420056483,16,5
0100100012475,0.42933259723772943,0.03708229486841755,0.35088253676386705,273,2
0100100012028,0.4575888621050751,0.0487948102420105,0.3758300517324622,254,2
0100100011392,0.5513829338197689,0.49206584805191234,0.5395195166661976,64,5
0100100011439,0.5273584448780314,0.2700021022251635,0.47588717634745786,152,3
0100100010680,0.446745421305755,0.06044697878863635,0.3694857328023313,262,2
0100100013685,0.44710415837347955,0.2593369054085737,0.4095507077804984,231,2
0100100012973,0.5315405874411326,0.2528380012400988,0.4758000702009259,153,3
0100100013115,0.535239791090098,0.2575725772707239,0.47970634832622316,144,3
0100100011477,0.4261382005742433,0.0165803237764349,0.34422662521468167,280,2
0100100010356,0.5326066246998591,0.24824540562828235,0.47573438088554376,155,3
0100100011994,0.40343383302078883,0.04049708270365995,0.3308464829573631,295,1
0100100014039,0.17215702542009378,0.0059191887815004,0.1389094580923751,353,1
0100100012386,0.4655025507528416,0.04063034897272065,0.3805281103968174,249,2
0100100013859,0.38051842331117647,0.0210221948323998,0.3086191776154212,304,1
0100100013702,0.6211808477809546,0.5013732082944207,0.5972193198836478,26,5
0100100010977,0.5360111197458288,0.26705525718979334,0.48221994723462175,135,4
0100100012051,0.5708339993325471,0.3319087340314876,0.5230489462723352,80,4
0100100012070,0.4680331315898516,0.07724879348545464,0.38987626396897224,242,2
0100100013280,0.41872279963521136,0.124888845345751,0.3599560087773193,270,2
0100100012422,0.45928364176380054,0.07133402168612205,0.3816937177482649,247,2
0100100013223,0.5427226093336057,0.2830503029136477,0.4907881480496141,115,4
0100100010430,0.6292352510491467,0.48016553828216435,0.5994213084957503,24,5
0100100010712,0.5892567909691031,0.2551286299021981,0.5224311587557221,81,4
0100100012850,0.5702759598652962,0.4413110712544983,0.5444829821431366,63,5
0100100014217,0.4677445097372758,0.5208502312923147,0.47836565404828363,147,3
0100100013276,0.5312462210417769,0.2474602379380038,0.4744890244210223,157,3
0100100011636,0.46555893422664313,0.040762874112224,0.3805997222037593,248,2
0100100011782,0.303126711148892,0.2616383123469435,0.2948290313885023,317,1
0100100012225,0.5818514560464085,0.4959611344315901,0.5646733917234449,50,5
0100100013454,0.27118939784870194,0.04255352710907735,0.22546222370077704,337,1
0100100012920,0.3807954056364535,0.04103982743656095,0.31284428999647496,299,1
