cve_ageb,vehicle_rate,total_demand,transit_propensity,transit_demand
0100100010017,0.22274881516587677,6509.830596890139,0.7772511848341233,5059.773544502288
0100100010106,0.9485368314833501,8913.45586440042,0.05146316851664989,458.71468121536003
0100100010163,0.8271276595744681,7694.863966826752,0.1728723404255319,1330.229143201433
0100100010182,1.0,8040.920770056124,0.0,0.0
0100100010229,0.8272727272727273,69683.79217489227,0.17272727272727273,12036.29137566321
0100100010233,0.7152941176470589,24634.87193993704,0.28470588235294114,7013.692952311485
0100100010286,0.8389328063241107,33071.109643553675,0.1610671936758893,5326.67082203483
0100100010290,0.8352713178294574,22302.522875575974,0.1647286821705426,3673.8652023720106
0100100010303,0.6733128834355828,15940.285494171065,0.3266871165644172,5207.485905304351
0100100010322,0.6608832807570978,10514.635046379743,0.3391167192429022,3565.6885409647393
0100100010337,0.5373563218390804,10879.506679454233,0.46264367816091956,5033.334986758999
0100100010341,0.6410788381742739,7885.365235479285,0.3589211618257261,2830.224451738415
0100100010356,0.7,4810.099838739151,0.30000000000000004,1443.0299516217456
0100100010360,0.5080321285140562,6364.539547147665,0.4919678714859438,3131.1489739983494
0100100010375,0.6330645161290323,12211.20245835038,0.36693548387096775,4480.723482701148
0100100010407,0.9078947368421053,8013.412086938512,0.09210526315789469,738.0774290601257
0100100010411,0.40425531914893614,3849.427597726145,0.5957446808510638,2293.2760156666395
0100100010426,0.48776223776223776,9385.622615419492,0.5122377622377623,4807.670325730614
0100100010430,0.4720496894409938,6930.626137980891,0.5279503105590062,3659.0262219153774
0100100010445,0.49898580121703856,5628.699094019551,0.5010141987829615,2820.058166780587
0100100010464,0.7659574468085106,3602.5128499188477,0.23404255319148937,843.1413053001559
0100100010483,0.4815242494226328,13827.244147009571,0.5184757505773672,7169.090787537294
0100100010498,0.4634794156706507,9418.423934319748,0.5365205843293492,5053.178312702759
0100100010500,0.48020434227330777,13106.67642830144,0.5197956577266922,6812.793494659881
0100100010515,0.5786314525810324,31002.612550328926,0.42136854741896757,13063.525816525153
0100100010534,0.5784883720930233,13052.92028208537,0.4215116279069767,5501.957677041798
0100100010549,0.6071842410196987,17932.36327934645,0.3928157589803013,7044.11489188696
0100100010553,0.5297872340425532,5231.480142955132,0.47021276595744677,2459.9087480703915
0100100010568,0.5804988662131519,10524.006043342233,0.41950113378684806,4414.832467161707
0100100010572,0.5723270440251572,18784.381393568106,0.4276729559748428,8033.571916746108
0100100010587,0.6299019607843137,11981.58920402045,0.3700980392156863,4434.362671095804
0100100010591,0.5582608695652174,21296.82045121537,0.44173913043478263,9407.638947145573
0100100010604,0.5909090909090909,11251.604858096685,0.40909090909090906,4602.929260130461
0100100010619,0.67125,23643.47084117994,0.32875,7772.791039037905
0100100010623,0.6023391812865497,24888.361475792222,0.39766081871345027,9897.126200899831
0100100010638,0.5470588235294118,46962.67530560926,0.4529411764705882,21271.329403128897
0100100010642,0.6431372549019608,19148.838743388715,0.35686274509803917,6833.507159405383
0100100010657,0.5319465081723626,15435.942554243637,0.46805349182763745,7224.846812164555
0100100010676,0.8448275862068966,9157.2780108072,0.15517241379310343,1420.9569327114618
0100100010680,0.8682926829268293,8061.34026921347,0.13170731707317074,1061.737498872018
0100100010695,0.5892255892255892,15497.684438614244,0.4107744107744108,6366.052193639522
0100100010708,0.5339578454332553,32712.917582424,0.4660421545667447,15245.598592277227
0100100010712,0.525609756097561,22181.233822134982,0.474390243902439,10522.560922939643
0100100010727,0.475,7953.166248417239,0.525,4175.412280419051
0100100010731,0.5645756457564576,5642.027695643314,0.4354243542435424,2456.6762659996716
0100100010746,0.6111111111111112,4645.345139820266,0.38888888888888884,1806.5231099301031
0100100010784,0.5874439461883408,23324.395236394288,0.41255605381165916,9622.620456270288
0100100010799,0.5765004226542688,17002.394654784017,0.4234995773457312,7200.50695016635
0100100010801,0.5949367088607594,6042.039502280713,0.40506329113924056,2447.4084059871248
0100100010816,0.6420168067226891,24922.185026077124,0.3579831932773109,8921.72337908307
0100100010820,0.6114864864864865,9954.822703680231,0.3885135135135135,3867.5831450109004
0100100010835,0.9318681318681319,23947.79072377525,0.06813186813186811,1631.6077196418298
0100100010854,0.47293447293447294,13435.649434984407,0.5270655270655271,7081.467650917708
0100100010869,0.7953091684434968,48096.6181195392,0.20469083155650325,9844.93675794406
0100100010873,0.6560283687943262,6877.820919707176,0.34397163120567376,2365.7752808921846
0100100010888,0.8199300699300699,24583.80395594475,0.1800699300699301,4426.803859199842
0100100010892,0.5979020979020979,19957.689010329348,0.4020979020979021,8024.944881775787
0100100010905,0.4377387318563789,20500.78714571267,0.5622612681436211,11526.798578490852
0100100010939,0.8756218905472637,28443.080980641073,0.12437810945273631,3537.6966393832176
0100100010962,0.5336283185840708,14769.646694193998,0.4663716814159292,6888.144962690475
0100100010977,0.6758691206543967,19019.04809447438,0.32413087934560325,6164.6607831783
0100100010996,1.0,2054.2713620014483,0.0,0.0
0100100011000,0.8370165745856354,7659.313097408985,0.1629834254143646,1248.3410849368233
0100100011034,0.38715953307393,14769.130133336334,0.6128404669260701,9051.12060700573
0100100011091,0.6736842105263158,11828.650419567806,0.3263157894736842,3859.875400069495
0100100011161,0.5409934171154998,15621.985017007766,0.45900658288450025,7170.593960529596
0100100011195,0.9568965517241379,5980.119800254766,0.0431034482758621,257.7637844937401
0100100011208,0.9907749077490775,4218.303367092187,0.009225092250922495,38.9142377038024
0100100011227,0.9759188846641318,6886.793966861653,0.02408111533586821,165.8416798103568
0100100011265,0.5391566265060241,3024.3642871106185,0.46084337349397586,1393.7582407467607
0100100011299,1.0,15322.083879929763,0.0,0.0
0100100011316,0.6996402877697842,14774.962875806395,0.30035971223021585,4437.803597589332
0100100011320,0.6489444878811571,63258.13423086416,0.3510555121188429,22207.116708098525
0100100011354,0.8359621451104101,44400.99445166923,0.16403785488958988,7283.443884816402
0100100011373,0.6542502387774594,25722.568853986504,0.34574976122254064,8893.572039296194
0100100011392,0.5020689655172413,17899.481442660683,0.49793103448275866,8912.707311448976
0100100011405,0.48161993769470407,26002.948559102937,0.5183800623052959,13479.410094189185
0100100011424,0.875,407.0700902411399,0.125,50.88376128014249
0100100011439,0.673164392462638,19993.41329780726,0.32683560753736196,6534.559381934407
0100100011458,0.6666666666666666,50089.17300008272,0.33333333333333337,16696.391000027576
0100100011462,0.5882352941176471,17132.9681856243,0.4117647058823529,7054.7516058453
0100100011477,0.9946996466431095,135678.1481039898,0.005300353356890497,719.1421277596684
0100100011481,0.5,372.10218119432363,0.5,186.05109059716182
0100100011509,0.783375314861461,14543.224047406778,0.21662468513853905,3150.4213301687228
0100100011528,0.6585365853658537,37394.34421509652,0.3414634146341463,12768.800463691494
0100100011547,0.5407098121085595,8922.073691397076,0.4592901878914405,4097.820902103041
0100100011551,0.9245283018867925,7782.425004684208,0.07547169811320753,587.3528305422043
0100100011636,0.8621064060803475,18628.16530228081,0.1378935939196525,2568.704661660871
0100100011674,0.7324561403508771,19743.56773930447,0.26754385964912286,5282.270316217426
0100100011689,0.40526700804681787,14978.744193016792,0.5947329919531821,8908.353349614228
0100100011693,0.7552363853979653,23918.11323123717,0.24476361460203466,5854.28384893836
0100100011710,0.5455801104972375,11965.719789367356,0.45441988950276246,5437.461064505333
0100100011744,0.34449093444909346,16261.215790743738,0.6555090655509066,10659.374367712075
0100100011782,0.0,1807.5045944892706,1.0,1807.5045944892706
0100100011956,1.0,3429.327895188024,0.0,0.0
0100100011960,1.0,5295.2878723463455,0.0,0.0
0100100011975,0.8452380952380952,73164.23229672444,0.15476190476190477,11323.035950683545
0100100011994,0.8609406952965235,7871.573024292184,0.1390593047034765,1094.6154716807127
0100100012009,0.7563805104408353,20646.08046769092,0.24361948955916468,5029.787584936302
0100100012013,0.8146513680494263,14660.85039241368,0.18534863195057372,2717.3685634659073
0100100012028,0.8365878725590956,13289.741692249429,0.1634121274409044,2171.7049630705637
0100100012032,0.49727520435967304,9049.33486625117,0.5027247956403269,4549.325021317005
0100100012047,0.5078369905956113,7419.464602090082,0.49216300940438873,3651.5860267339904
0100100012051,0.6443298969072165,18638.893793721818,0.35567010309278346,6629.297277148481
0100100012066,0.5310391363022942,19640.71894874441,0.46896086369770584,9210.728521847075
0100100012070,0.9229508196721311,19591.75651068637,0.0770491803278689,1509.5287803315734
0100100012085,0.917910447761194,20654.82817363491,0.08208955223880599,1695.5455963431646
0100100012102,0.9792207792207792,15870.09440695896,0.020779220779220786,329.7681954692772
0100100012117,0.6811023622047244,13334.149576503372,0.3188976377952756,4252.2288019558
0100100012121,0.4193939393939394,9416.097176493702,0.5806060606060606,5467.043087927858
0100100012136,0.6838905775075987,10763.190358332567,0.31610942249240126,3402.3458883482895
0100100012140,0.48221343873517786,9750.665629742485,0.5177865612648221,5048.763626467453
0100100012155,0.41455696202531644,12884.711576001457,0.5854430379746836,7543.264688481866
0100100012174,0.5079754601226993,15812.666357441869,0.49202453987730066,7780.219888753608
0100100012189,0.5101744186046512,12483.851353082848,0.4898255813953488,6114.9097470769175
0100100012193,0.4193290734824281,17529.493694405195,0.5806709265175719,10178.867344914199
0100100012206,0.440713536201469,15969.249297608862,0.559286463798531,8931.384969176836
0100100012210,0.37182741116751267,14639.951995133915,0.6281725888324874,9196.41654516661
0100100012225,0.5461538461538461,13850.245510125487,0.4538461538461539,6285.880654595414
0100100012259,0.9671457905544147,52059.3963944878,0.03285420944558526,1710.370312755248
0100100012263,1.0,51043.48528422821,0.0,0.0
0100100012278,0.7935258092738408,34338.122720320636,0.20647419072615925,7089.936099733745
0100100012282,0.490216271884655,12071.81020650984,0.509783728115345,6154.012412175459
0100100012297,0.6140350877192983,17738.33740362548,0.38596491228070173,6846.375839995799
