city,n_agebs,n_municipalities,mean_vehicle_rate,mean_transit_prop,cve_ent
ZMG (Guadalajara),1881,10,0.577,0.423,14
Monterrey (W9 run),1903,12,0.6345043567740877,0.3654956432259123,19
