cve_ageb,transit_demand,accessibility_score,coverage_gap_raw,coverage_gap_n,demand_quantile,access_quantile,gap_category
1500500010164,9226.087048567624,26810.0,0.34411573788995653,0.028367743279187188,4,2,High-gap
1500500010361,1776.2663106573486,20385.0,0.08713167422041346,0.008013620480888684,2,2,Medium-gap
1500500010450,2175.3552167351822,16175.0,0.1344804164648357,0.012102987196791997,2,2,Medium-gap
1500500040215,19149.370021011367,0.0,19149.370021011367,0.9458023651617257,5,1,High-gap
1500500160431,12071.918836921182,0.0,12071.918836921182,0.9015478707339158,5,1,High-gap
1500500320145,18595.90955386212,74085.0,0.2510043672740075,0.021481509019959773,5,2,High-gap
1500500320376,1814.219159233881,80050.0,0.02266329164200174,0.0021496494365162294,2,3,Medium-gap
1500500320484,7007.054089025176,0.0,7007.054089025176,0.8493752161223332,3,1,Medium-gap
1500500340380,12675.981201317582,54215.0,0.23380517192927516,0.020153588657880955,5,2,High-gap
1500500350499,10497.54472526784,0.0,10497.54472526784,0.888144806999357,4,1,High-gap
1500500370395,8188.189431246297,11475.0,0.7135055272957735,0.05165817747949176,4,2,High-gap
1500500450342,29374.562906546664,0.0,29374.562906546664,0.9868419137180648,5,1,High-gap
1500501430501,3002.79787164282,9410.0,0.3190731985594326,0.02656373196005375,2,2,Medium-gap
1500501650516,6661.32999532226,37870.0,0.175895275945242,0.015542288147468669,3,2,Medium-gap
1500501650520,9135.896583211534,36115.0,0.25295981236049214,0.02163132828832658,4,2,High-gap
1500501650535,1580.0183446075314,61635.0,0.025634667152435776,0.0024279504468893228,2,2,Medium-gap
1500501650554,824.4454752134735,57005.0,0.014462433344094893,0.0013773354645137507,1,2,Medium-gap
1500501680573,6174.763576334098,0.0,6174.763576334098,0.8372479818928659,3,1,Medium-gap
1500501680588,4115.553465141725,3445.0,1.1942987420608604,0.07538182533961385,2,2,Medium-gap
1501800010124,17133.805993839414,53805.0,0.31843671698025156,0.02651743613615733,5,2,High-gap
1501800010139,13286.171239062993,44755.0,0.2968578791461032,0.02493448553698689,5,2,High-gap
1501800010162,1095.9202915236351,0.0,1095.9202915236351,0.6714819723947751,1,1,Medium-gap
1501800010177,3134.056955575877,0.0,3134.056955575877,0.772214009534061,2,1,Medium-gap
1501800010209,411.2883063316957,36845.0,0.011162359722403944,0.0010647886478649144,1,2,Medium-gap
1501800060196,7295.223562743368,126725.0,0.057566904682096555,0.005368863230045488,3,3,Medium-gap
