cve_ageb,vehicle_rate,total_demand,transit_propensity,transit_demand
1900600010013,0.0,0.0,1.0,0.0
1900600010032,0.7659574468085106,1112.1320606531149,0.23404255319148937,260.28622696136733
1900600010051,0.554140127388535,23767.574330800056,0.445859872611465,10597.007663414039
1900600010066,0.6521739130434783,35280.85530492071,0.34782608695652173,12271.601845189813
1900600010070,0.603448275862069,43556.52934403515,0.39655172413793105,17272.416808841528
1900600010085,0.6901408450704225,69127.8428368764,0.3098591549295775,21419.89496353917
190060001009A,0.6666666666666666,70053.37379358974,0.33333333333333337,23351.124597863247
1900600010102,0.6598240469208211,41783.24243572412,0.3401759530791789,14213.654318310844
1900600010117,0.41056338028169015,46658.98264112043,0.5894366197183099,27502.513007477322
1900600010136,0.0,57477.49441825283,1.0,57477.49441825283
1900600010140,0.0,24936.292037764033,1.0,24936.292037764033
1900600010174,0.8390119250425895,66635.99629561664,0.16098807495741052,10727.600766500462
1900600010189,0.0,191667.36401407592,1.0,191667.36401407592
1900600010206,0.8164426059979317,110152.41789283135,0.18355739400206827,20219.29077143492
1900600010210,0.0,77672.45346456501,1.0,77672.45346456501
1900600010225,0.0,52478.68016464405,1.0,52478.68016464405
1900600010244,0.42105263157894735,65779.21794500334,0.5789473684210527,38082.70512605457
1900600010259,0.9260416666666667,133267.68363388375,0.07395833333333335,9856.255768755987
1900600010278,0.8759124087591241,25442.369818821182,0.12408759124087587,3157.08238627708
1900600010297,0.5859959211420802,55254.734634349676,0.4140040788579198,22875.685514832734
190060001030A,0.6602739726027397,33624.78051540104,0.3397260273972603,11423.213106602
1900600010348,0.8030797946803546,79693.14088726851,0.19692020531964538,15693.189666088341
1900600010352,0.7171428571428572,30131.194701707795,0.2828571428571428,8522.823644197346
1900600010367,0.47540983606557374,13860.942131612279,0.5245901639344263,7271.313905108081
1900600010386,0.4662379421221865,55248.50489524644,0.5337620578778135,29489.555667559194
1900600010403,0.5594353640416048,46361.0452208574,0.44056463595839523,20425.03701037774
1900600010422,0.37894736842105264,51576.66944851891,0.6210526315789473,32031.82628908016
1900600010437,0.40495137046861185,36101.654981337204,0.5950486295313882,21482.240320459714
1900600010460,0.5022522522522522,41674.72756546145,0.49774774774774777,20743.501783709416
1900600010475,0.41886490807354115,48613.04468191378,0.5811350919264588,28250.746190049016
1900600010507,1.0,15566.288585129332,0.0,0.0
1900600010511,0.8456140350877193,15405.467928310833,0.15438596491228074,2378.3880310374625
1900600010526,0.5454545454545454,42589.59669830012,0.4545454545454546,19358.90759013642
1900600010530,0.0,179614.89857844354,1.0,179614.89857844354
190060001055A,0.5746753246753247,39300.39515146317,0.4253246753246753,16715.427807927517
1900600010564,0.38155275381552756,119449.7138948353,0.6184472461844724,73873.346615784
1900600010583,0.7815003641660597,75916.40728412961,0.21849963583394028,16587.70734540341
1900600010598,0.6179378531073446,74168.6227345379,0.3820621468926554,28337.02323402896
1900600010668,0.6124213836477987,42069.7744998226,0.38757861635220126,16305.344990890362
