cve_ageb,n_intersections,n_intersection_density,n_street_density,p_poi_density,p_employment_proxy,p_retail_density,p_service_density,p_land_use_mix,pe_population,pe_pop_density,pe_marginacion,pe_rezago,pe_dep_ratio,pe_youth_share,n_intersections_n,n_intersection_density_n,n_street_density_n,p_poi_density_n,p_employment_proxy_n,p_retail_density_n,p_service_density_n,p_land_use_mix_n,pe_population_n,pe_pop_density_n,pe_marginacion_n,pe_rezago_n,pe_dep_ratio_n,pe_youth_share_n
0100100012649,284.4825165483635,71.12062913709087,54175.59432755006,443.657257950424,255.0,182.88161778109082,27.093573004606046,1.2129927719630282,3435,11633.302908852722,124.983716385552,1.0,0.3544952681388013,0.21426491994177585,0.8836597482822883,0.7645650289617276,0.9796985344767547,0.7255880967481402,0.5593289641318496,0.6767711570543511,0.5196842640175331,0.8160332959464898,0.8896824134699808,0.9103737447478056,0.09758710187809327,0.3333333333333333,0.2255878979065099,0.6070839398350315
0100100012032,182.31586766449848,20.836099161656968,28878.124303894845,187.5248924549127,160.0,80.73988425142075,13.022561976035606,1.24910392195146,2435,6341.98768232934,122.796065081728,1.0,0.40103567318757194,0.14825462012320328,0.8144304759173161,0.5510514670041915,0.9231519763834356,0.6234760643571636,0.5125492679465677,0.5715426293619946,0.411421556103964,0.8403268461032553,0.8520989610244077,0.8513845437613919,0.2073521606483697,0.3333333333333333,0.25520451930118215,0.42005475701574263
0100100013990,163.59041790310283,33.55700880063648,34760.28799808186,293.6238270055692,0.0,125.83878300238679,4.19462610007956,0.963075687063864,3412,14312.064253471457,122.513438090277,2.0,0.6041372825575928,0.2063305978898007,0.797590740517584,0.6330857149710316,0.9398145173581571,0.676606569330089,0.0,0.6285697726962983,0.25670337924581377,0.6479031411611818,0.8889485203263534,0.9305242162336317,0.2215329253216327,0.6666666666666666,0.3844509979911954,0.5846033606877686
0100100014471,263.31737324119274,27.239728266330285,50405.20783215979,172.5182790200918,75.0,63.55936595477066,9.079909422110095,1.1137712633489112,1940,17615.024278893583,125.341875414794,0.0,0.5288082083662194,0.13505154639175257,0.8716211308178715,0.597008441629333,0.9732150325508458,0.6136052371213564,0.43683085300816044,0.5409174186079492,0.3599876489545811,0.7492826469940417,0.8272778619312179,0.9507156695197513,0.07961652913410333,0.0,0.3365143144148669,0.3826460481099656
0100100010799,114.20602401298021,39.622498126952316,21755.09218459424,592.0067367203463,415.0,172.4744036114395,69.92205551815114,1.2259589667755688,3683,8584.097682445023,122.824521434866,1.0,0.5377870563674322,0.14553353244637524,0.7418381827945428,0.6619845589715887,0.8976955379873446,0.7598488549252294,0.6083009918799324,0.6692092264324372,0.6639633387114269,0.8247562223590177,0.8972975543238654,0.8808182674767371,0.20592436762252497,0.3333333333333333,0.34222812677927505,0.41234500859806317
0100100011693,178.8585598614568,33.43150651616015,32450.308481154694,334.31506516160147,1035.0,113.6671221549445,21.730479235504095,1.0815900048433937,5784,9668.391684473514,124.328389874206,1.0,0.35959548447789275,0.18966113416320884,0.8114548297835207,0.6324355187673165,0.9336340072213685,0.6920019323154957,0.7003363754323808,0.6154759432334989,0.486680064964036,0.7276329067375813,0.9466076977865405,0.8923842704487537,0.1304680061181236,0.3333333333333333,0.2288334901222954,0.5373732134624251
0100100012278,147.31038069524746,37.921484139370634,26906.627757406484,565.9052248490694,1990.0,135.64223172928726,61.257782071291025,1.2177537907133935,3994,5825.3233712556275,123.259183955549,0.0,0.4062720225510923,0.19178768152228343,0.7813132876495048,0.654340291276586,0.9167965948811173,0.7544921679115139,0.7662301668635161,0.6382326521377744,0.643662648661144,0.8192362415144473,0.9061532741823615,0.843122299896721,0.18411524427429826,0.0,0.2585367416234224,0.543398430979803
0100100012507,180.74867156208006,31.434551576013924,40922.09542717729,605.115117838268,240.0,227.90049892610094,62.86910315202785,1.1946967918749247,3631,14267.357096563319,122.9273381043,1.0,0.4437375745526839,0.17075185899201323,0.8130886328117508,0.6217582338849713,0.9544821473636088,0.7624507234906417,0.5532385244654329,0.7051948923582716,0.6476437327237725,0.8037247898457448,0.8957442108811866,0.930219996085402,0.20076555746696667,0.3333333333333333,0.2823784565335261,0.4837969338107041
0100100012263,105.09222014685554,40.98596585727366,17372.246361578167,363.6190817081202,3415.0,67.25902089398754,62.004409886644765,1.1076194446613248,2472,2597.879682030269,125.355009311622,0.0,0.4927536231884058,0.15655339805825244,0.7289582736501924,0.6678842446808012,0.877475793990223,0.7019721863257802,0.8206818730572013,0.5481499754376182,0.6455199937527769,0.7451440494724982,0.8537461652362918,0.764616378838068,0.07895753793441462,0.0,0.313570487483531,0.44356796116504854
0100100013825,173.157092851,43.83723869645569,29330.49616047389,412.0700437466835,195.0,188.5001263947595,30.686067087518985,1.1541411132193145,7386,16189.092250601088,125.164871101511,1.0,0.468097793679189,0.1960465746005957,0.8064204371702822,0.6796258716990823,0.9245489811228129,0.7168192829214285,0.5323909711591948,0.6806775617064172,0.5384329010815361,0.7764412108437645,0.9733190887549491,0.9425073229816343,0.08849769260660922,0.3333333333333333,0.2978804141594839,0.5554652947016878
