city,n_agebs,n_municipalities,mean_vehicle_rate,mean_transit_prop,cve_ent
ZMG (Guadalajara),1881,10,0.577,0.423,14
Aguascalientes (W9 run),356,3,0.6674504504553372,0.33254954954466276,01
