route_id,route_short_name,route_long_name,route_km,n_stops,straight_line_km,detour_ratio,connects_to_existing,n_served_agebs,f1_demand_gain,f2_route_km,f3_equity,composite_score,total_score,pareto_rank,feasible,flag,overlap_route_id
18178778,Triángulo,Triángulo : San Miguel Toto → Terminal,13.148619651720011,290,9.15936953409099,1.436,True,22,0.004045488375628815,13.148619651720011,0.11881394762730134,0.17417714485145405,0.17417714485145405,13,False,Redundant,18212712
18212710,Triángulo,Triángulo : Terminal → Tlacotepec,8.800277621913969,255,6.94211823335849,1.268,True,14,0.0030410027438567684,8.800277621913969,0.1866970004755553,0.22637960601346252,0.22637960601346252,8,False,Redundant,18212738
18212712,Triángulo,Triángulo : Terminal → San Miguel Toto,11.11984251917908,232,8.880878131227952,1.252,True,18,0.0031944046219381573,11.11984251917908,0.1258199847248624,0.1919840464766614,0.1919840464766614,11,False,Low demand,
18212716,Triángulo,Triángulo : Tlacotepec → Toluca Centro (Instituto Literario),8.233602096440588,203,7.437449481802403,1.107,True,10,0.004903332068136192,8.233602096440588,0.17522545383151827,0.2300963447223442,0.2300963447223442,6,False,Low demand,
18212734,Triángulo,Triángulo : Terminal Toluca → Zaragoza,21.64618582903079,578,14.227672413320937,1.521,True,18,0.009245108391033548,21.64618582903079,0.19101540201162553,0.12661407698535,0.12661407698535,11,False,Redundant,18212752
18212736,Triángulo,Triángulo : Tlacotepec → Terminal,9.379693551458585,228,7.263604898469329,1.291,True,12,0.0030841853484508334,9.379693551458585,0.18789692820908807,0.22189430447190134,0.22189430447190134,9,False,Redundant,18212710
18212738,Triángulo,Triángulo : Toluca Centro (Instituto Literario) → Tlacotepec,8.573117577574694,233,7.453930460050671,1.15,True,12,0.0030878546431302584,8.573117577574694,0.18382313415721785,0.22760099170264564,0.22760099170264564,7,False,Low demand,
18212742,Triángulo,Triángulo : Zaragoza → Terminal Toluca,21.574892954844113,549,14.281146587447505,1.511,True,18,0.009245108391033548,21.574892954844113,0.19101540201162553,0.127208184270239,0.127208184270239,10,False,Redundant,18212752
18212744,Triángulo,Triángulo : San Andres Ocotlan → Terminal Toluca-(Mpio. de Calimaya),13.613576822546896,312,11.856148944902586,1.148,True,12,0.002958975715339369,13.613576822546896,0.11368963372110058,0.16793491062439037,0.16793491062439037,15,False,Redundant,18874884
18212752,Triángulo,Triángulo : (Mpio. de Calimaya) → San Andres Ocotlan,12.888230292176559,332,11.32239018982122,1.138,True,12,0.002958975715339369,12.888230292176559,0.11368963372110058,0.1739794650441432,0.1739794650441432,14,False,Redundant,18874884
18212798,Triángulo,Triángulo : La Huerta → Terminal,22.49136223175952,608,14.669364729230255,1.533,True,18,0.009229858145982926,22.49136223175952,0.18740762493107213,0.11865374578075494,0.11865374578075494,12,False,Redundant,18212752
18212802,Triángulo,Triángulo : Centro Toluca → Calimaya,19.88697724889229,511,15.660475854436392,1.27,True,17,0.005011872505287039,19.88697724889229,0.17317930726225114,0.13258188891341408,0.13258188891341408,12,False,Low demand,
18212806,Triángulo,Triángulo : Calimaya → Centro Toluca,21.624795564385703,579,15.754830726901139,1.373,True,20,0.005696806772576946,21.624795564385703,0.1723666384264614,0.1185818366759781,0.1185818366759781,13,False,Redundant,18212802
18212813,Triángulo,Triángulo : Terminal → Ocotitlan,6.5626964852402745,164,5.702803038253124,1.151,True,16,0.002571176326128357,6.5626964852402745,0.12810857586361502,0.22990918291502982,0.22990918291502982,5,False,Redundant,18212846
18212821,Triángulo,Triángulo : Terminal → La Huerta,22.57970856613177,629,14.633251653789916,1.543,True,18,0.009229858145982926,22.57970856613177,0.18740762493107213,0.11791752632765287,0.11791752632765287,13,False,Redundant,18212752
18212846,Triángulo,Triángulo : Ocotitlan → Terminal,6.535769580171502,154,5.6689385545491,1.153,True,15,0.002509226156800198,6.535769580171502,0.13450682156864055,0.23167118504753115,0.23167118504753115,5,False,Low demand,
18265943,Estrella,Estrella : Toluca → Santiago Tianguistenco por Acueducto,29.879096738636495,595,21.97011655858125,1.36,True,15,0.0038690893992606615,29.879096738636495,0.19779402832418017,0.05432512365833492,0.05432512365833492,16,False,Redundant,18266208
18265967,Estrella,Estrella : Toluca → San Nicolas Peralta,21.352624153089657,488,16.566183057706635,1.289,True,21,0.005858728005316494,21.352624153089657,0.18025786325740015,0.12298465921058607,0.12298465921058607,12,False,Redundant,18334522
18265983,Estrella,Estrella : Toluca → Santiago Tianguistenco,35.143381773737815,794,21.820426183009893,1.611,True,24,0.005512775397739585,35.143381773737815,0.17691969453690323,0.04974269903196539,0.04974269903196539,18,False,Redundant,18266208
18266002,Estrella,Estrella : Atarasquillo (Lerma) → Toluca Centro,26.67060166908138,644,23.474652059370904,1.136,True,18,0.006041271865324654,26.67060166908138,0.17663455598542604,0.07794489695266968,0.07794489695266968,16,False,Low demand,
