city,n_agebs,mean_vehicle_rate,mean_transit_prop,cve_ent,n_municipalities
ZMG (Guadalajara),2068,0.577,0.423,14,10
Monterrey (W9 run),1903,0.6345043567740877,0.3654956432259123,19,12
