feature,variance,avg_abs_correlation,weight_unnormalized,weight_normalized,feature_rank
slope_inverted,0.021599661224767117,0.08904347677431693,0.019676352292166452,0.2908916920839077,1
route_km_800m,0.027948621700239158,0.3331163242521836,0.018638479571540675,0.2755479664081504,2
stops_800m,0.015425016800423928,0.4475205995529496,0.00852200403378389,0.12598779166605054,3
employment_proxy,0.010484405640428622,0.25536163004753243,0.007807090726009226,0.11541864049900878,4
stops_400m,0.011953833885751755,0.4263328205843703,0.006857522168442187,0.10138038786158671,5
min_dist_inverted,0.007660554759787865,0.19848392977299797,0.006140057746823925,0.0907735214812959,6
