route_id,modification_type,reason,current_score,proposed_score,overlap_route_id,detail
C98,shortcut,Route detour_ratio=1.95 > 1.5. Current route_km=45.3km; estimated shortcut=25.6km (straight_line_km=23.2km x 1.1).,0.13713183560901085,0.174,,Replace detoured alignment with direct route between highest-demand endpoints (~25.6km).
MT_L3,retire,"Route has low demand-gain (f1=0.002, score=0.222) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.22239000774393988,,,Reduce frequency or retire MT_L3; reallocate vehicles to higher-demand routes.
MT_L1,retire,"Route has low demand-gain (f1=0.001, score=0.256) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2558055325224891,,,Reduce frequency or retire MT_L1; reallocate vehicles to higher-demand routes.
ST_L1,merge,Route overlaps 69.0% of served AGEBs with C109 (Jaccard=0.69). Consolidation improves frequency without expanding coverage.,0.17356819312789964,,C109,Merge ST_L1 into C109; combine headways to improve service frequency.
ST_L2,shortcut,Route detour_ratio=1.97 > 1.5. Current route_km=8.6km; estimated shortcut=4.8km (straight_line_km=4.4km x 1.1).,0.31890449347232813,0.3507,,Replace detoured alignment with direct route between highest-demand endpoints (~4.8km).
ST_L4,retire,"Route has low demand-gain (f1=0.022, score=0.252) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.25154627833728616,,,Reduce frequency or retire ST_L4; reallocate vehicles to higher-demand routes.
LM-V03,retire,"Route has low demand-gain (f1=0.003, score=0.136) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.1355843896045111,,,Reduce frequency or retire LM-V03; reallocate vehicles to higher-demand routes.
LM-V04,retire,"Route has low demand-gain (f1=0.006, score=0.260) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.26044266334175165,,,Reduce frequency or retire LM-V04; reallocate vehicles to higher-demand routes.
LM-V05,shortcut,Route detour_ratio=2.04 > 1.5. Current route_km=19.7km; estimated shortcut=10.6km (straight_line_km=9.6km x 1.1).,0.22799814593363704,0.3035,,Replace detoured alignment with direct route between highest-demand endpoints (~10.6km).
LM-V01,merge,Route overlaps 87.7% of served AGEBs with C125-V1 (Jaccard=0.88). Consolidation improves frequency without expanding coverage.,0.1388527778408452,,C125-V1,Merge LM-V01 into C125-V1; combine headways to improve service frequency.
LM-V02,retire,"Route has low demand-gain (f1=0.003, score=0.144) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.14388444912700213,,,Reduce frequency or retire LM-V02; reallocate vehicles to higher-demand routes.
LM-C01,shortcut,Route detour_ratio=1.86 > 1.5. Current route_km=29.5km; estimated shortcut=17.5km (straight_line_km=15.9km x 1.1).,0.15117262407600734,0.2517,,Replace detoured alignment with direct route between highest-demand endpoints (~17.5km).
LM-C02,shortcut,Route detour_ratio=1.54 > 1.5. Current route_km=15.1km; estimated shortcut=10.8km (straight_line_km=9.8km x 1.1).,0.2609308064520405,0.2969,,Replace detoured alignment with direct route between highest-demand endpoints (~10.8km).
LM-C03,retire,"Route has low demand-gain (f1=0.010, score=0.280) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.2795568769468796,,,Reduce frequency or retire LM-C03; reallocate vehicles to higher-demand routes.
