route_id,route_short_name,route_long_name,route_km,n_stops,straight_line_km,detour_ratio,connects_to_existing,n_served_agebs,f1_demand_gain,f2_route_km,f3_equity,composite_score,total_score,pareto_rank,feasible,flag,overlap_route_id
C01,C01,"Troncal C01 - 39A ""Poniente""",15.88799591227219,79,11.99991805260257,1.324,True,27,0.005683816145947152,15.88799591227219,0.5592421112675139,0.263094378027224,0.263094378027224,3,False,Low demand,
C02,C02,Troncal C02 - 45A,17.114940529300497,103,14.498964033690806,1.18,True,48,0.005502140044385596,17.114940529300497,0.5836113729163194,0.25878047886262795,0.25878047886262795,2,False,Low demand,
C03,C03,"Troncal C03 - 61 ""Mercado de Abastos""",18.821112435650726,119,13.20194688980327,1.426,True,32,0.0017733821790301115,18.821112435650726,0.5263321331878383,0.226513811845567,0.226513811845567,7,False,Low demand,
C04,C04,Troncal C04 - 110,12.715390685314814,45,6.263732113855264,2.03,True,28,0.0011998528547272212,12.715390685314814,0.55844973950591,0.2848506986869146,0.2848506986869146,4,False,Indirect,
C05,C05,Troncal C05 - 136,21.711529156763863,85,14.981586284099553,1.449,True,31,0.0030093183579338644,21.711529156763863,0.5806427267940384,0.2172405904167446,0.2172405904167446,4,False,Low demand,
C06,C06,Troncal C06 - 136A,23.844186794956105,118,12.226304005249675,1.95,True,39,0.0017441874895392832,23.844186794956105,0.5603920231540797,0.19314063665342499,0.19314063665342499,7,False,Indirect,
C07-V1,C07-V1,Troncal C07-V1 - 153CTM,19.820271159741882,98,13.788629446014678,1.437,True,52,0.002663964157768969,19.820271159741882,0.581588120044853,0.23289206783779987,0.23289206783779987,3,False,Low demand,
C07-V2,C07-V2,Troncal C07-V2 - 153A,21.11792145885077,114,15.434563732716331,1.368,True,49,0.002173161233218984,21.11792145885077,0.5792683203787574,0.2210075625041519,0.2210075625041519,4,False,Low demand,
C08,C08,Troncal C08 - 156,13.196880680643378,88,6.835322854169278,1.931,True,29,0.001845156667762382,13.196880680643378,0.5586742622103891,0.28153971654833154,0.28153971654833154,4,False,Indirect,
C09,C09,Troncal C09 - 175D,15.071355215548689,67,9.782660759507106,1.541,True,23,0.01112533749904704,15.071355215548689,0.5203923295194566,0.2656287930826721,0.2656287930826721,6,False,Redundant,LM-C02
C10,C10,Troncal C10 - 175E,14.267830011442484,70,9.81846669469888,1.453,True,27,0.011265825133613851,14.267830011442484,0.5481542720699131,0.27940580972240475,0.27940580972240475,4,False,Redundant,LM-C03
C100,C100,"Troncal C100 - 181 ""La Fortuna""",18.754598710845432,78,13.80346982322607,1.359,True,23,0.02073276924717914,18.754598710845432,0.5941119243051058,0.262972427733077,0.262972427733077,2,False,Low demand,
C101,C101,"Troncal C101 - 186A ""San Sebastian - Calera""",25.08760876398163,119,15.580994121173694,1.61,True,25,0.010120605464319029,25.08760876398163,0.5019857335303456,0.17655363248039183,0.17655363248039183,7,False,Indirect,
C102,C102,Troncal C102 - 187,47.55341656512478,167,25.50686184109003,1.864,True,72,0.022937718361208125,47.55341656512478,0.5164326187590237,0.15204587305096404,0.15204587305096404,7,False,Indirect,
C103,C103,Troncal C103 - 188,39.33486751082071,196,15.530064364130308,2.533,True,65,0.024004763687414974,39.33486751082071,0.5817182830866668,0.16943433445908168,0.16943433445908168,3,False,Indirect,
C104,C104,"Troncal C104 - 629 ""Plaza del Sol""",27.561837500385263,105,0.001,27561.838,True,47,0.003180999924846112,27.561837500385263,0.529167586664553,0.15579091742110718,0.15579091742110718,8,False,Indirect,
C105,C105,Troncal C105 - 808,26.706213734327925,159,10.564478915292113,2.528,True,66,0.0024709517911718822,26.706213734327925,0.5516093360394726,0.16782150468164064,0.16782150468164064,9,False,Indirect,
C106,C106,Troncal C106 - 809,24.535349042246605,87,11.664046753838598,2.104,True,32,0.018579113316430935,24.535349042246605,0.5456869146752042,0.20053959996651027,0.20053959996651027,6,False,Indirect,
C107,C107,Troncal C107 - 110A,18.707153530645023,87,11.716000742833753,1.597,True,47,0.005583438191973997,18.707153530645023,0.5561937373322676,0.23873892643633238,0.23873892643633238,4,False,Indirect,
C108,C108,Troncal C108 - 371,82.76758437526158,138,0.001,82767.584,True,84,0.0010550750705187295,82.76758437526158,0.549279776279862,0.13837501914048422,0.13837501914048422,11,False,Indirect,
C109,C109,"Troncal C109 - 629A ""CG""",12.98878819879695,57,11.31603658549898,1.148,True,23,0.001718368957462712,12.98878819879695,0.5621983427411072,0.28402805298609823,0.28402805298609823,4,False,Low demand,
C110-V1,C110-V1,"Troncal C110-V1 - 629B ""Nuevo Mexico - Chori""",21.83617718329013,96,14.108248622956623,1.548,True,30,0.005036147137394424,21.83617718329013,0.5298492417623535,0.20553031438389838,0.20553031438389838,7,False,Indirect,
C110-V2,C110-V2,"Troncal C110-V2 - 629B ""Primavera - La Venta""",25.202770467104244,88,22.79785894688911,1.105,True,25,0.008018145088785565,25.202770467104244,0.506268056357959,0.1745620719524066,0.1745620719524066,7,False,Redundant,C109
C111-V1,C111-V1,"Troncal C111-V1 - 176A ""Robles""",31.602085694373404,98,19.914751310275374,1.587,True,47,0.018544897376258144,31.602085694373404,0.5115294776043274,0.14642726677734,0.14642726677734,9,False,Redundant,C111-V3
C111-V2,C111-V2,"Troncal C111-V2 - 176A ""Lomas del Sur""",25.522183005879675,74,21.709984942603537,1.176,True,44,0.03631539040664999,25.522183005879675,0.5757514387514643,0.21756839171218545,0.21756839171218545,3,True,Low demand,
C111-V3,C111-V3,"Troncal C111-V3 - 176A ""Chulavista""",29.70027109633104,147,19.899691814235997,1.492,True,53,0.014866111374904609,29.70027109633104,0.5465708569640189,0.1540065664798173,0.1540065664798173,6,False,Low demand,
