cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1403900011147,3002,439,2132,431,100,372,417,892
1403900011151,2172,376,1513,283,101,275,317,631
1403900011166,2417,401,1697,314,106,299,320,702
1403900011170,4531,741,3209,581,190,543,657,1244
1403900011185,5210,937,3586,687,196,571,810,1469
140390001119A,2055,337,1327,391,80,202,304,487
1403900011202,2008,394,1363,251,104,243,267,553
1403900011217,5444,1088,3712,644,253,654,730,1559
1403900011221,3057,618,2068,371,142,369,459,858
1403900011236,3834,845,2571,418,183,451,536,1059
1403900011274,2716,157,1051,361,46,142,479,575
1403900011289,1719,182,1238,299,32,183,615,653
1403900011293,886,87,616,183,11,69,291,326
1403900011306,617,60,426,131,11,65,224,183
1403900011310,981,62,755,164,20,74,254,299
1403900011325,2359,250,1766,343,58,229,497,793
140390001133A,1300,178,944,178,48,141,193,407
1403900011344,1167,152,882,133,29,137,155,303
1403900011359,754,78,540,136,29,84,78,193
1403900011363,1226,211,862,153,41,134,156,400
1403900011378,1543,231,1073,236,70,168,140,452
1403900011382,2849,514,1997,332,105,375,418,826
1403900011397,5120,920,3495,704,205,560,683,1540
140390001140A,4485,840,3017,620,179,526,586,1297
1403900011414,3951,753,2683,515,166,439,546,1138
1403900011429,1902,363,1316,223,89,231,180,563
1403900011433,5008,972,3386,650,234,598,658,1420
1403900011448,2753,594,1856,303,128,342,347,773
1403900011452,4217,922,2830,465,202,509,468,1109
1403900011467,4745,1101,3103,541,221,572,582,1200
1403900011471,4458,973,2989,472,218,539,522,1056
1403900011490,5529,1304,3620,605,278,663,657,1351
1403900011518,2605,597,1704,304,134,323,230,617
1403900011537,7726,1870,5299,557,417,982,947,1945
1403900011556,1636,132,1231,273,49,231,462,593
1403900011560,822,53,612,157,21,82,262,275
1403900011575,449,42,346,61,5,47,166,192
140390001158A,270,13,235,22,4,38,75,95
1403900011594,227,15,181,31,5,23,72,96
1403900011607,688,63,546,79,6,52,203,229
1403900011626,513,77,358,77,14,30,58,118
1403900011630,386,57,284,45,8,52,37,106
1403900011645,1828,305,1274,249,75,181,212,647
140390001165A,5944,1129,3983,832,264,691,775,1683
1403900011664,2178,396,1480,302,100,256,291,652
1403900011679,1848,338,1274,236,81,223,248,555
1403900011683,3329,688,2294,347,179,383,427,952
1403900011698,2957,575,2030,352,134,380,382,859
1403900011700,4300,925,2901,474,203,537,541,1192
1403900011715,4773,959,3323,489,251,557,761,1380
140390001172A,4658,950,3201,507,227,589,704,1259
1403900011734,5234,1153,3602,479,264,615,726,1308
1403900011753,2171,210,1565,396,50,198,679,830
1403900011768,2337,232,1706,399,52,244,742,721
1403900011787,507,42,378,87,9,43,167,200
1403900011791,408,44,314,50,5,36,144,166
1403900011804,424,37,339,48,7,44,121,129
1403900011819,469,32,365,72,5,29,160,189
1403900011823,486,49,334,103,15,38,143,204
1403900011838,533,48,405,80,10,48,105,213
1403900011842,1147,135,859,153,35,134,214,391
1403900011857,3322,442,2382,498,93,370,550,1060
1403900011861,1324,219,953,150,55,140,211,411
1403900011876,911,179,614,118,35,103,70,281
1403900011880,1826,357,1235,234,74,194,210,518
1403900011895,1933,390,1300,243,96,234,173,575
1403900011908,3317,640,2244,433,137,413,444,1037
1403900011912,2808,597,1854,357,126,303,271,795
1403900011927,2553,499,1734,320,105,323,356,743
1403900011931,1639,232,1140,267,79,215,287,501
1403900011946,2222,380,1482,359,92,290,326,658
1403900011950,2286,365,1577,344,98,315,400,676
1403900011965,2593,456,1822,315,127,260,313,843
140390001197A,2728,446,1839,443,103,383,422,780
1403900011984,2146,463,1401,282,90,225,287,633
1403900011999,1739,271,1210,258,81,205,269,500
1403900012003,2235,456,1500,279,93,256,299,643
1403900012018,2060,359,1418,283,83,262,315,591
1403900012022,4065,826,2732,507,196,476,488,1152
1403900012037,2760,608,1808,343,127,317,298,756
1403900012041,1670,309,1111,250,55,205,217,477
1403900012056,3305,659,2296,350,169,391,508,914
1403900012107,614,104,414,96,21,64,102,168
1403900012111,2316,418,1595,303,115,284,300,641
1403900012126,1229,234,859,136,51,154,169,337
1403900012130,1943,95,659,94,20,62,315,368
1403900012145,1224,136,834,254,29,119,290,381
140390001215A,799,90,604,105,17,98,168,284
1403900012164,844,130,598,116,27,83,143,280
1403900012179,762,105,529,125,14,83,118,270
1403900012183,931,116,796,19,12,165,258,344
1403900012200,1191,209,831,151,57,131,222,349
1403900012215,2270,370,1604,296,97,304,388,654
1403900012249,3183,451,2270,462,115,468,626,962
1403900012253,3334,516,2267,551,136,417,590,953
1403900012268,3930,631,2680,617,177,421,707,1175
1403900012272,2353,402,1589,362,102,266,433,698
1403900012287,3086,604,2128,354,135,343,514,876
1403900012291,3561,678,2436,447,166,406,621,1064
1403900012304,4087,663,2772,652,126,354,1127,1606
1403900012319,4397,656,2969,772,183,486,952,1320
1403900012342,2027,395,1351,281,77,236,260,578
1403900012357,2874,585,1947,342,115,343,366,779
1403900012361,1590,308,1075,207,68,198,218,406
1403900012376,1750,326,1189,235,59,196,227,462
1403900012380,1603,314,1106,183,72,213,228,424
1403900012395,2027,342,1392,293,84,221,344,597
1403900012408,1913,327,1337,249,81,212,310,554
1403900012427,1837,269,1249,319,55,174,333,472
1403900012431,1033,154,726,153,57,104,176,308
1403900012446,2051,352,1415,284,79,217,326,539
1403900012501,3267,550,2238,479,143,392,532,904
1403900012516,1807,327,1244,236,52,232,264,491
1403900012520,1593,291,1103,199,80,178,243,431
1403900012535,3821,572,2650,599,167,424,804,1100
140390001254A,5415,721,3637,1057,195,571,1239,1730
1403900012554,11,0,10,*,0,*,3,3
1403900012569,3196,476,2160,550,115,324,651,932
1403900012573,0,0,0,0,0,0,0,*
1403900012588,3636,678,2480,478,156,453,426,917
1403900012592,3696,684,2422,590,146,423,599,1062
1403900012605,444,75,301,68,24,42,74,135
140390001261A,1880,255,1359,266,57,232,352,609
1403900012624,4749,793,3364,591,200,528,850,1392
1403900012639,4945,850,3381,714,210,599,797,1502
1403900012662,2011,342,1358,311,82,239,341,580
1403900012677,1696,296,1177,222,59,191,349,507
1403900012681,4038,595,2648,795,133,371,1008,1244
1403900012696,6406,863,4264,1279,245,694,1542,1968
1403900012709,5623,773,3719,1131,184,563,1409,1725
1403900012713,3393,448,2328,617,148,403,765,1025
1403900012728,3828,636,2480,712,140,391,808,1128
1403900012785,5136,1059,3476,601,258,594,610,1285
140390001279A,4961,1117,3241,603,236,574,666,1278
1403900012802,8937,1843,5986,1108,442,1043,1209,2275
140390001286A,2400,574,1618,208,129,309,371,644
1403900013001,2282,594,1590,97,123,305,438,616
1403900013016,5380,1304,3698,347,307,726,754,1321
1403900013020,4278,1033,2983,262,223,521,682,1158
1403900013088,7760,1584,5272,904,358,923,1343,1561
1403900013143,2655,359,1812,484,113,289,833,778
1403900013177,7661,2129,5047,485,413,1017,672,1664
1403900013209,5999,1294,4162,543,329,756,1090,1557
1403900013317,2911,264,2075,572,62,420,771,875
1403900013321,923,104,675,144,23,102,287,338
1403900013336,6612,1203,4781,628,218,735,1418,2155
1403900013340,7256,1322,5164,763,272,769,1541,2225
1403900013374,6111,1437,4064,610,303,842,669,1438
1403900013406,4762,1136,3246,380,224,571,719,1200
1403900013482,4455,1309,2852,294,263,573,393,1038
140390001350A,2929,628,1919,382,131,335,359,677
1403900013514,2921,629,1924,365,116,299,414,759
1403900013529,3016,591,2044,381,118,346,485,789
1403900013533,1844,300,1246,298,75,230,291,548
1403900013548,1383,390,908,85,82,161,106,402
1403900013552,1826,409,1215,202,95,242,167,506
1403900013567,2867,654,1926,287,133,354,326,772
1403900013586,4397,904,3091,402,198,512,826,1156
1403900013590,3233,805,2126,302,188,392,377,731
1403900013603,4489,903,3292,294,231,598,949,1356
1403900013618,2845,678,1885,282,130,358,323,694
1403900013637,932,185,630,117,35,136,148,279
1403900013641,870,146,583,141,33,122,153,262
1403900013656,3096,446,2048,602,105,354,733,988
1403900013660,5426,1194,3626,606,255,587,652,1410
140390001368A,1946,344,1327,275,77,187,424,606
1403900013694,1439,250,965,224,41,165,313,454
1403900013707,3663,696,2466,500,166,401,866,1066
1403900013711,3070,574,2040,455,144,334,580,857
1403900013726,2382,460,1657,265,91,314,298,601
1403900013730,1089,228,739,122,47,150,123,253
1403900013745,3343,831,2271,241,158,388,405,904
1403900013764,2516,611,1742,163,143,296,490,692
1403900013783,5133,1148,3591,394,209,555,742,1519
1403900013798,5737,1344,3875,516,300,649,883,1457
1403900013800,5229,1009,3442,775,226,557,671,1486
1403900013815,5972,1379,3945,648,320,677,620,1528
140390001382A,4065,667,2789,609,174,448,808,1190
1403900013834,3120,435,2074,611,121,331,771,923
1403900013849,1656,244,1134,278,61,191,338,519
1403900013853,1911,286,1278,347,63,297,407,566
1403900013868,4200,939,2853,408,206,527,519,1059
1403900013872,6219,1394,4389,436,279,711,1074,1845
1403900013891,3644,836,2462,346,180,486,486,911
1403900013904,3454,727,2346,381,162,410,547,925
1403900013919,3541,693,2464,384,172,476,582,925
1403900013923,4286,994,3032,260,196,513,756,1223
1403900013938,2667,717,1745,204,158,334,244,609
1403900013942,3436,934,2234,267,180,416,323,808
1403900013957,1171,169,875,127,26,132,341,415
1403900013961,2017,246,1398,373,66,206,647,720
1403900013976,2378,469,1679,230,88,303,388,709
1403900013980,1286,237,871,178,50,172,194,355
1403900013995,4225,717,2842,666,173,495,841,1306
140390001400A,2960,520,2039,401,103,348,538,925
1403900014014,3969,980,2601,388,185,386,504,940
1403900014029,3376,758,2272,346,162,379,451,798
1403900014033,2004,289,1333,382,88,200,385,569
1403900014048,5939,1355,3906,677,278,711,723,1478
1403900014052,5240,917,3718,605,183,580,1171,1601
1403900014067,2600,599,1761,237,117,257,383,635
1403900014071,2395,357,1661,377,99,251,495,770
1403900014086,2420,392,1685,343,87,271,420,735
1403900014090,2730,489,1841,397,113,333,440,751
1403900014103,3343,616,2336,391,164,407,490,993
1403900014118,3680,568,2498,614,137,431,706,1148
1403900014122,3179,487,2244,447,147,339,698,965
1403900014141,1427,266,952,209,52,147,241,413
1403900014156,1891,405,1291,195,92,206,189,580
1403900014160,2479,590,1730,159,138,291,247,755
1403900014175,4696,954,3048,694,248,556,497,1244
140390001418A,4537,1004,3052,481,199,464,807,1288
1403900014194,3732,869,2511,352,224,441,422,885
1403900014207,4817,1202,3196,419,277,583,491,1089
1403900014211,4952,1299,3235,418,252,581,515,1068
1403900014226,4502,1156,2949,397,253,564,503,968
1403900014230,4112,1043,2728,341,221,512,388,918
1403900014245,4483,1195,2947,341,238,533,438,997
140390001425A,5144,1246,3464,434,244,643,543,1183
1403900014264,2866,672,1967,227,151,411,324,692
1403900014279,3870,975,2573,322,227,537,424,863
1403900014283,5592,1172,4056,364,272,831,931,1403
1403900014298,6517,1515,4281,719,347,753,712,1626
1403900014300,5081,1127,3330,624,273,608,581,1263
1403900014349,2021,360,1342,319,97,220,315,630
1403900014353,2928,538,1934,456,120,310,490,877
1403900014368,3033,620,2007,406,123,340,522,890
1403900014387,6168,1374,4505,289,298,983,1023,1733
1403900014391,4151,1059,2736,356,225,484,442,975
1403900014404,4369,1213,2825,331,233,552,405,997
1403900014423,6471,1450,4540,480,334,760,1168,1219
1403900014438,4428,1067,2948,413,225,534,529,1095
1403900014442,4063,925,2717,421,200,472,503,1003
1403900014457,1807,187,1319,301,39,385,567,596
1403900014461,2681,263,1920,498,76,329,953,1001
1403900014476,7476,1636,5013,801,377,925,967,1913
1403900014480,5137,1294,3446,396,234,581,586,1348
1403900014495,4349,1032,2896,420,217,539,573,1125
1403900014508,2403,404,1665,334,93,256,588,746
1403900014512,4757,988,3138,629,231,534,715,1278
1403900014527,3204,566,2112,526,114,338,579,952
1403900014531,657,169,460,28,38,62,169,197
1403900014546,462,29,371,62,0,54,87,135
1403900014550,777,89,564,124,29,74,104,207
1403900014565,67,0,60,2,0,7,0,0
140390001457A,869,170,578,121,46,97,126,226
1403900014584,2297,299,1589,409,83,200,727,799
1403900014599,3297,404,2274,619,85,279,1139,1205
1403900014601,3520,769,2327,424,173,436,406,908
1403900014616,3942,921,2592,429,180,482,460,975
1403900014620,2986,691,2058,237,131,366,419,690
1403900014635,2896,693,1971,232,122,316,401,728
140390001464A,5227,1088,3806,333,293,687,1093,1415
1403900014654,4659,1074,3269,316,197,487,615,1421
1403900014669,2308,388,1456,464,114,231,389,642
1403900014673,4058,817,2693,548,222,470,516,1129
1403900014705,2177,351,1470,356,81,235,482,663
140390001471A,3040,656,2052,332,130,337,417,902
1403900014724,3284,675,2305,304,138,369,591,960
1403900014743,3042,528,1998,516,141,380,401,871
1403900014762,2342,285,1536,521,62,215,691,767
1403900014777,2679,344,1883,452,88,278,798,957
1403900014781,2986,666,1975,345,162,344,368,809
1403900014796,3178,785,2076,317,180,404,331,784
1403900014809,4279,713,3017,549,140,449,930,1507
1403900014813,3428,574,2328,526,137,372,707,1129
1403900014828,5053,1082,3455,501,291,653,739,1300
1403900014832,3312,614,2226,472,138,364,710,995
1403900014847,4413,970,2977,466,221,593,562,1130
1403900014851,2928,661,1965,302,153,372,316,755
1403900014866,2702,332,1924,446,80,281,652,857
1403900014870,1678,203,1211,264,54,172,482,586
1403900014885,3109,636,2088,385,127,388,517,858
140390001489A,2999,568,2030,401,130,329,520,809
1403900014902,2033,243,1454,336,48,205,732,583
1403900014917,2107,189,1496,422,46,208,731,548
1403900014921,2664,586,1800,276,137,332,336,653
1403900014936,2345,425,1586,334,89,286,284,617
1403900014940,893,167,653,73,33,115,175,340
1403900014955,2607,491,1948,168,105,313,614,1035
140390001496A,2980,444,2179,357,120,371,799,1020
1403900014974,2159,403,1570,186,85,244,609,857
1403900014989,2858,568,1827,463,152,304,449,759
1403900014993,3081,630,2005,446,157,392,471,784
1403900015008,4449,1119,2899,431,226,548,438,1071
1403900015012,5358,1244,3574,540,283,692,534,1360
1403900015027,3829,584,2514,731,160,368,891,1123
1403900015031,3099,473,2028,598,121,303,697,972
1403900015046,4361,1187,2762,412,223,511,429,973
1403900015050,2497,674,1593,230,135,332,200,560
1403900015065,4763,1088,3178,497,250,598,484,1150
140390001507A,3529,743,2344,442,162,434,417,866
1403900015084,3838,806,2629,383,212,452,537,986
1403900015099,2598,609,1737,252,127,325,328,606
1403900015101,4789,1160,3301,328,238,612,659,1266
1403900015116,4326,1085,2914,327,238,542,520,1005
1403900015120,3491,724,2412,354,165,427,541,947
1403900015135,3361,689,2288,384,150,417,515,941
140390001514A,4366,1004,2925,437,190,540,558,1059
1403900015154,2653,613,1791,249,123,326,343,660
1403900015169,2394,509,1627,256,97,296,356,634
1403900015173,3324,726,2274,324,178,386,423,794
1403900015188,3913,933,2624,356,178,501,479,898
1403900015192,3526,879,2342,305,168,411,407,797
1403900015205,5156,1138,3678,340,237,573,1083,1668
140390001521A,3418,557,2274,587,142,392,739,1055
1403900015224,6832,1359,4983,490,333,839,1618,2058
1403900015243,3622,815,2306,501,185,414,438,901
1403900015258,3767,995,2478,294,229,441,396,889
1403900015262,5739,1434,4082,223,300,668,1038,1675
1403900015277,5148,1397,3364,387,284,523,586,1293
1403900015281,3133,543,2020,570,147,358,589,895
1403900015296,3129,568,2038,523,147,331,588,882
1403900015309,755,65,508,182,24,83,230,261
1403900015313,2173,339,1541,293,75,257,510,663
1403900015328,1120,149,767,204,49,108,204,335
1403900015332,1552,237,1047,268,70,171,250,427
1403900015347,3339,881,2204,254,177,434,259,775
1403900015351,1225,234,867,124,57,127,196,338
1403900015366,15,*,13,*,0,*,4,5
1403900015370,1587,189,1092,306,59,179,420,483
1403900015385,4544,1042,2978,524,212,511,532,1132
140390001539A,3696,846,2439,411,174,448,450,944
1403900015402,2478,596,1660,222,110,274,312,624
1403900015417,3837,938,2518,381,238,455,400,883
1403900015421,3707,869,2474,364,193,475,452,905
