cve_ageb,IM_2020,GM_2020,IRS_2020,GRS_2020
1400800010674,118.3033709,Alto,11.1313868613,Medio
1400800010689,123.5943753,Bajo,4.0816326531,Muy bajo
1400800010706,123.9476628,Muy bajo,13.0434782609,Bajo
1400800010782,118.4178119,Alto,11.2313937754,Medio
1400800010797,118.9420842,Medio,16.6666666667,Medio
140080001080A,122.2767676,Bajo,4.9504950495,Bajo
1400800010814,119.5577117,Medio,10.0358422939,Medio
1400800010829,117.3907769,Alto,13.7931034483,Medio
1400800010833,120.9013001,Medio,8.2432432432,Medio
1400800010848,120.1051989,Medio,8.3032490975,Bajo
1400800010852,122.977607,Bajo,5.3639846743,Bajo
1400800010867,124.4194775,Muy bajo,2.2222222222,Bajo
1400800010886,123.5998381,Bajo,7.2625698324,Bajo
1400800010890,120.8688985,Medio,10.5263157895,Medio
1400800010903,124.6460329,Muy bajo,4.6511627907,Bajo
1400800010918,120.9232225,Medio,2.2727272727,Bajo
1400800010922,117.13684,Alto,9.8765432099,Medio
1400800010937,121.0403288,Medio,7.8947368421,Medio
1400800010941,119.7175579,Medio,12.1212121212,Medio
1400802800388,118.8192577,Medio,6.640625,Medio
1400802800392,117.2659064,Alto,10.5263157895,Medio
1400802800513,119.0484791,Medio,7.3529411765,Medio
140080280059A,118.6310319,Medio,10.8108108108,Medio
1400802800636,118.3532505,Alto,13.7931034483,Medio
1400900010046,120.9695331,Medio,12.6637554585,Medio
1400900010065,120.4051049,Medio,13.8268156425,Medio
140090001007A,122.3927374,Bajo,6.3063063063,Bajo
1400900010084,120.165629,Medio,15.7575757576,Medio
1400900010101,122.0616272,Bajo,3.6585365854,Bajo
1400900010116,121.1019767,Medio,11.1111111111,Bajo
1400900010135,121.7033558,Bajo,9.6418732782,Bajo
140090001014A,121.1417236,Medio,11.7647058824,Medio
1400900010169,120.3228096,Medio,16.6666666667,Medio
1400900010224,119.9326695,Medio,20.8333333333,Medio
1400900060239,119.7267808,Medio,15.8163265306,Medio
1400900060243,121.8911906,Bajo,14.7699757869,Medio
1400900800027,120.0405873,Medio,39.3034825871,Medio
1400900800277,120.2807215,Medio,29.3785310734,Medio
1400900800281,120.3906483,Medio,24.6212121212,Medio
1401000010066,109.2781173,Muy alto,45.2702702703,Alto
1401000010070,114.245342,Muy alto,39.3442622951,Alto
140100001009A,112.5145635,Muy alto,33.3333333333,Alto
1401000010102,115.7736276,Alto,29.0322580645,Medio
1401000010121,118.0724952,Alto,35.0649350649,Medio
1401100010078,119.4466317,Medio,15.4666666667,Medio
1401100010082,118.3983713,Alto,25.8064516129,Medio
1401100010097,119.0152821,Medio,15.7894736842,Medio
140110001010A,119.4887998,Medio,10.0,Alto
1401200010126,120.68263,Medio,10.0,Medio
1401200010130,121.7064899,Bajo,7.2463768116,Medio
1401300010049,120.5004797,Medio,11.593118923,Bajo
1401300010053,120.9491191,Medio,21.9401631913,Medio
1401300010142,120.4637173,Medio,14.1747572816,Bajo
1401300010157,121.8572918,Bajo,8.4507042254,Bajo
1401300010176,115.7833774,Alto,26.5389876881,Alto
1401300010180,119.9991853,Medio,11.7647058824,Bajo
1401300010195,120.0691277,Medio,11.6333725029,Medio
1401300010246,120.1421762,Medio,8.6124401914,Bajo
1401300010250,118.9845289,Medio,23.8770685579,Medio
1401300010265,122.7625277,Bajo,7.2916666667,Bajo
140130001027A,117.6207219,Alto,22.6164079823,Medio
1401300010284,119.9293255,Medio,11.1486486486,Bajo
1401300010316,117.3511894,Alto,24.6835443038,Medio
1401300300104,115.0122217,Muy alto,9.1304347826,Medio
1401300300119,115.5073439,Alto,5.2325581395,Medio
1401300300123,115.1997219,Muy alto,10.2339181287,Medio
1401300300138,114.7833363,Muy alto,12.8048780488,Medio
1401300300212,117.1759752,Alto,6.7796610169,Medio
1401300300227,116.1872447,Alto,7.6086956522,Medio
1401300300231,117.0843621,Alto,7.5757575758,Medio
1401300300369,113.9388445,Muy alto,19.3548387097,Medio
1401300300388,118.5481125,Alto,9.375,Medio
1401300300439,116.3551957,Alto,16.3265306122,Medio
1401300300443,114.4863402,Muy alto,0.0,Medio
1401300300513,118.969844,Medio,12.5,Medio
1401300300528,117.3585856,Alto,20.0,Alto
1401301450477,122.0743835,Bajo,10.9195402299,Medio
1401301450481,120.9947869,Medio,14.7058823529,Medio
1401301450496,121.9484573,Bajo,11.7171717172,Medio
1401301450509,119.5126735,Medio,21.5568862275,Medio
1401400010046,119.5128614,Medio,11.8993135011,Medio
1401400010050,117.1586239,Alto,11.7455138662,Medio
1401400010084,119.6079048,Medio,7.6271186441,Medio
1401400010099,122.4810202,Bajo,4.5454545455,Bajo
1401400010101,118.7847043,Medio,10.3448275862,Medio
1401400010116,119.3585221,Medio,24.3902439024,Alto
1401400010120,118.3458508,Alto,13.9534883721,Medio
1401400010154,120.1950398,Medio,10.3448275862,Medio
1401400010173,115.284562,Alto,31.25,Alto
1401400010188,118.4314764,Alto,20.8333333333,Medio
1401500010043,121.5487431,Bajo,20.3371970495,Bajo
1401500010058,123.3444405,Bajo,17.2043010753,Muy bajo
1401500010062,122.0978876,Bajo,16.519434629,Bajo
1401500010077,123.0635237,Bajo,11.5814696486,Bajo
1401500010147,123.9871028,Muy bajo,9.0507726269,Muy bajo
1401500010151,121.0273006,Medio,18.6976744186,Medio
1401500010166,119.3076546,Medio,20.4545454545,Medio
1401500010185,122.4609946,Bajo,14.0816326531,Bajo
140150001019A,119.7259752,Medio,22.7272727273,Medio
1401500010202,122.599635,Bajo,14.1025641026,Bajo
1401500010217,122.0225356,Bajo,8.1560283688,Bajo
1401500010221,116.4510303,Alto,32.6530612245,Alto
1401500010236,122.7067287,Bajo,16.9381107492,Bajo
1401500010240,117.1368963,Alto,28.1214848144,Medio
1401500010255,123.6033009,Bajo,12.3085339168,Bajo
1401500010289,120.1060071,Medio,19.3786982249,Medio
1401500010293,124.5543583,Muy bajo,8.7301587302,Muy bajo
1401500010306,124.2482875,Muy bajo,8.7621696801,Bajo
1401500010310,121.7769423,Bajo,15.4545454545,Bajo
1401500010325,108.8931791,Muy alto,72.0238095238,Muy alto
140150001040A,108.9762114,Muy alto,48.275862069,Alto
1401500010414,125.9093073,Muy bajo,1.1235955056,Muy bajo
1401500010429,123.7223045,Muy bajo,12.5,Muy bajo
1401500010471,125.0157847,Muy bajo,16.2790697674,Muy bajo
1401600010021,116.9507455,Alto,15.0442477876,Medio
1401600010093,117.0191741,Alto,16.7346938776,Medio
1401600010144,118.1449827,Alto,13.1707317073,Bajo
1401600010159,116.7586799,Alto,15.6010230179,Medio
1401600010163,118.8952392,Medio,8.6776859504,Medio
1401600010178,116.8390132,Alto,20.4081632653,Medio
1401600010182,115.14307,Muy alto,16.149068323,Medio
1401600010248,119.4211217,Medio,23.0769230769,Bajo
1401600010267,118.5236074,Alto,11.7647058824,Medio
1401600010337,119.0161645,Medio,4.347826087,Bajo
1401600010341,116.3269268,Alto,16.8269230769,Medio
1401600010356,117.9596577,Alto,9.0909090909,Medio
1401600010464,118.7023417,Medio,13.8461538462,Medio
1401600010479,120.070414,Medio,18.4615384615,Bajo
1401600010498,114.9199147,Muy alto,40.0,Alto
1401600010549,114.922528,Muy alto,14.2857142857,Medio
1401600100318,113.2410027,Muy alto,10.1744186047,Alto
