cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1900600011524,3658,704,2405,549,163,427,505,987
1900600011539,3879,780,3014,85,250,697,664,1040
1900600011543,3926,986,2875,65,230,559,821,1056
1900600011558,3108,832,2199,77,192,332,661,897
1900600011562,2467,668,1734,65,184,294,558,684
1900600011577,4637,996,3558,83,374,856,765,1181
1900600011581,2691,708,1900,83,168,271,691,765
1900600011596,0,0,0,0,0,0,0,0
1900600011609,3372,920,2400,52,272,569,435,841
1900600011613,4116,1052,3007,57,312,743,501,1031
1900600011628,3832,1008,2752,70,289,643,522,940
1900600011632,5931,1569,4261,101,491,849,979,1488
1900600011647,2325,586,1680,59,123,229,599,691
1900600011651,8,*,*,*,*,*,*,*
1900600011666,2454,692,1715,47,183,333,378,615
1900600011670,610,190,400,20,32,54,133,161
1900600011685,1213,323,871,19,62,147,293,364
190060001169A,2502,650,1775,77,177,320,479,658
1900600011702,834,240,582,12,53,118,136,209
1900600011717,1632,437,1181,14,129,253,260,436
1900600011721,1476,492,959,25,61,121,302,407
1900600011736,88,19,63,6,3,13,16,22
1900600011740,707,192,503,12,52,85,121,200
1900600011755,356,112,243,*,21,36,69,103
190060001176A,1762,508,1216,38,126,186,290,469
1900600011774,4353,1333,2935,85,264,416,882,1159
1900600011789,1475,425,1005,45,84,141,397,431
1900600011793,825,202,602,21,52,109,184,224
1900600011806,605,170,415,20,32,48,167,136
1900600011810,1691,470,1192,29,76,172,432,497
1900600011825,2288,690,1547,51,131,214,543,651
190060001183A,924,290,613,21,57,109,157,230
1900600011844,1922,596,1296,30,133,216,332,483
1900600011859,1533,504,997,31,98,150,268,395
1900600011863,1050,343,685,22,62,99,236,278
1900600011878,5255,1236,3892,127,416,909,736,1382
1900600011882,5356,1300,3930,126,401,879,776,1358
1900600011897,3063,686,2243,133,189,510,482,873
190060001190A,3346,821,2453,72,239,471,661,890
1900600011914,5844,1515,4211,118,439,840,877,1528
1900600011929,5690,1312,4233,143,416,941,1029,1572
1900600012039,2684,791,1837,56,188,320,397,699
1900600012043,3660,1177,2416,67,183,310,937,969
1900600012058,1504,385,1086,33,94,174,274,434
1900600012062,219,59,154,6,20,28,33,59
1900600012077,1764,564,1164,28,93,163,345,477
1900600012081,727,211,495,20,48,73,163,195
1900600012096,1160,341,784,35,76,119,205,319
1900600012109,1488,491,977,20,73,147,296,376
1900600012113,2024,603,1358,63,105,210,433,569
1900600012128,1714,488,1195,31,91,220,387,447
1900600012147,1482,471,972,39,48,105,378,426
1900600012185,1434,438,972,24,77,148,300,412
190060001219A,1234,366,846,22,67,115,272,344
1900600012202,372,126,244,*,26,31,74,93
1900600012217,1281,388,870,23,64,95,313,362
1900600012221,2687,780,1856,51,139,213,722,749
1900600012236,264,83,177,4,19,19,69,68
1900600012240,0,0,0,0,0,0,0,0
1900600012255,0,0,0,0,0,0,0,0
190060001226A,4528,867,3495,166,241,757,887,1280
1900600012274,5782,1664,3999,117,234,553,1510,1620
1900600012289,957,284,642,31,28,93,247,274
1900600012293,394,132,257,5,21,33,96,93
1900600012306,1066,282,763,16,37,69,327,296
1900600012310,782,233,524,25,36,60,204,224
1900600012325,119,34,82,3,5,17,16,31
190060001233A,2449,858,1561,30,144,224,462,615
1900600012344,2643,825,1774,44,129,248,462,760
1900600012359,4746,1605,3068,73,221,465,601,1292
1900600012363,4911,1573,3256,82,226,515,635,1424
1900600012378,5869,1743,4029,97,282,675,665,1726
1900600012414,2297,649,1626,22,73,171,675,701
1900600012429,3283,1127,2107,46,131,233,832,870
1900600012433,3625,1113,2433,78,187,326,889,949
1900600012448,947,305,626,16,36,39,280,285
1900600012452,1177,421,748,8,64,79,180,341
1900600012467,1811,658,1129,24,50,80,481,478
1900600012471,1922,545,1348,29,81,234,201,594
1900600012490,1568,438,1105,25,46,115,473,486
1900600012645,2686,900,1756,30,98,218,504,720
190060001265A,244,74,162,8,16,23,62,50
1900600012664,259,93,163,3,7,16,61,73
1900600012715,2717,970,1725,22,110,217,373,732
190060001272A,644,238,394,12,11,29,163,169
1900600012734,961,303,645,13,45,54,284,271
1900600012768,2792,589,2129,74,103,211,955,703
1900600012772,1384,292,1076,16,42,113,463,490
1900600012787,1588,484,1095,9,39,136,407,477
1900600012791,133,53,80,0,7,13,22,30
1900600012804,705,192,509,4,13,41,230,160
1900600012819,773,265,505,3,18,50,207,203
1900600012861,395,139,249,7,13,12,105,96
1900600012876,50,22,28,0,0,*,12,12
1900600012880,1056,274,768,14,22,61,341,330
1900600012895,2152,600,1532,20,52,98,713,654
1900600012912,379,118,260,*,6,58,91,123
1900600012946,364,113,249,*,11,31,89,111
1900600012950,917,271,633,10,14,83,245,276
1900600012965,796,215,571,10,25,39,255,235
190060001297A,1357,347,985,21,33,66,446,431
1900600012984,574,128,442,4,7,18,226,202
1900600013003,0,0,0,0,0,0,0,*
1900600013018,513,158,354,*,25,26,156,145
1900600013037,0,0,0,0,0,0,0,0
1900600013041,846,245,589,12,25,74,202,252
1900600013056,129,43,85,*,3,3,40,25
1900600013060,537,142,390,5,14,23,185,182
1900600013075,0,0,0,0,0,0,0,0
1900600780000,8287,2238,5846,203,497,1276,1195,2108
1900600781948,1170,263,855,52,74,188,144,302
1900600781952,1524,339,1137,48,108,317,185,357
1900600781967,1267,329,920,18,104,230,146,287
1900600781971,1154,296,811,47,82,191,158,280
1900600782132,917,319,591,7,55,87,144,234
1900600782753,2255,692,1532,31,74,263,418,648
1900601330000,21180,6629,14090,461,1082,1978,4232,5518
1900601332503,1670,525,1105,40,69,122,405,440
1900601332518,470,76,318,76,33,63,95,108
1900601332522,1809,503,1212,94,64,168,428,488
1900601332537,3111,1023,2036,52,180,334,513,789
1900601332541,5914,1986,3849,79,341,561,965,1527
1900601332556,3240,945,2225,70,254,368,475,785
1900601332679,393,141,244,8,12,13,105,111
1900601332838,1187,450,725,12,38,128,221,289
1900601332857,608,187,419,*,19,44,176,163
1900601332927,2766,788,1951,27,71,177,846,815
1900601333022,0,0,0,0,0,0,0,0
190060133308A,12,5,6,*,*,0,3,3
1900601740000,6338,1967,4279,85,256,559,1486,1764
1900601740047,1719,502,1197,20,53,147,482,524
1900601740121,2694,839,1813,42,130,232,621,699
1900601740155,1820,595,1195,23,69,172,355,512
190060174016A,105,31,74,0,4,8,28,29
1900602430000,7262,1167,6051,44,171,980,407,746
1900602431100,7262,1167,6051,44,171,980,407,746
1900603790000,11303,3214,7879,210,721,1481,2039,2870
1900603791986,3311,905,2353,53,222,423,684,887
1900603791990,2918,799,2057,62,214,421,480,747
1900603792005,3174,860,2252,62,215,511,374,700
1900603792024,1332,473,835,24,59,84,340,363
1900603792823,513,162,342,9,11,39,142,157
1900603792999,55,15,40,0,0,3,19,16
1900603850000,3717,1052,2602,63,221,477,658,1005
1900603852611,3717,1052,2602,63,221,477,658,1005
1900603880000,22464,6708,15339,417,1150,2204,5253,6063
1900603881933,7742,2293,5302,147,547,946,1548,2006
190060388201A,1495,453,1028,14,76,122,345,401
1900603882170,997,319,655,23,54,78,209,239
1900603882382,3037,876,2103,58,139,315,713,832
1900603882397,3101,999,2045,57,125,209,748,883
190060388240A,1008,294,700,14,37,122,264,263
1900603882486,204,70,131,3,4,12,59,58
1900603882683,3049,907,2084,58,108,249,848,818
1900603882842,1067,292,749,26,33,103,294,323
1900603882908,764,205,542,17,27,48,225,240
1900603890000,7820,2591,5140,89,367,759,1470,2075
1900603892626,3330,974,2318,38,228,431,545,850
1900603892630,2078,714,1338,26,67,162,481,569
1900603892700,980,338,624,18,23,79,164,266
1900603892749,1432,565,860,7,49,87,280,390
1900603920000,10113,3400,6578,135,676,990,1555,2536
1900603922560,2422,842,1552,28,164,200,377,631
1900603922575,3629,1154,2422,53,271,441,510,897
190060392258A,4062,1404,2604,54,241,349,668,1008
1900604030000,7525,2378,5031,116,243,521,1931,2251
1900604030193,2583,849,1702,32,74,150,680,780
190060403023A,2599,824,1722,53,107,176,640,730
1900604030282,2343,705,1607,31,62,195,611,741
1900604060000,4169,1377,2751,41,143,483,459,1124
1900604060371,4169,1377,2751,41,143,483,459,1124
1901000000000,104478,34472,68399,1550,4553,13052,10076,24529
1901000010000,11583,3117,7854,612,596,1370,1844,3271
1901000010020,852,166,574,112,33,114,175,231
190100001004A,2335,535,1639,161,138,279,383,682
1901000010054,347,71,216,60,14,28,66,97
1901000010069,527,101,375,51,31,66,107,161
1901000010073,1068,207,799,62,66,137,202,298
1901000010088,1385,327,957,101,67,152,223,372
1901000010092,7,0,*,5,0,0,3,4
1901000010105,69,22,47,0,*,18,*,0
190100001011A,18,5,8,5,0,0,6,6
1901000010124,64,16,46,*,6,6,13,17
1901000010139,4856,1650,3153,53,236,561,661,1385
1901000010143,4,*,*,*,*,*,*,*
1901000010196,51,16,35,0,*,9,4,17
1901001290000,29920,10722,18921,271,1208,3215,3103,7555
1901001290035,2788,901,1874,11,83,566,247,744
1901001290209,7088,2507,4524,55,291,749,595,1788
1901001290213,5027,1801,3186,39,180,553,539,1303
1901001290228,5307,1985,3266,56,195,476,565,1279
1901001290232,4723,1695,2987,41,219,424,554,1238
1901001290247,3029,1130,1859,39,134,260,374,729
1901001290251,1958,703,1225,30,106,187,229,474
1901001300000,30843,10079,20472,259,1261,4040,2587,6555
1901001300266,5753,1850,3858,35,212,845,415,1259
1901001300270,4020,1275,2707,34,159,635,274,699
1901001300285,5565,1800,3708,55,240,665,445,1376
190100130029A,6470,2127,4277,62,299,766,630,1328
1901001300302,7193,2397,4722,64,301,877,631,1491
1901001300317,1842,630,1200,9,50,252,192,402
1901001310000,9532,3124,6260,146,610,1351,787,2232
1901001310158,3103,1085,1976,42,199,340,290,738
1901001310162,795,269,513,13,66,87,55,164
1901001310177,3253,926,2247,80,257,465,307,761
1901001310181,2381,844,1524,11,88,459,135,569
1901001320000,21275,7070,14029,160,819,2954,1577,4583
1901001320321,2691,864,1808,17,100,428,218,527
1901001320336,3912,1349,2531,23,136,570,238,728
1901001320340,8479,2900,5506,70,334,1074,632,1804
1901001320355,6193,1957,4184,50,249,882,489,1524
1901800000000,397205,124731,264846,7494,19913,46905,53292,109999
1901800010000,234698,74747,155848,4023,12293,31305,22719,64945
1901800010029,483,159,323,*,17,91,44,144
1901800010067,135,37,95,3,3,26,26,40
1901800010118,3453,718,2353,382,192,437,432,945
1901800010122,611,94,383,134,25,64,108,170
1901800010137,2193,521,1458,202,121,285,284,579
1901800010141,916,154,650,112,39,92,176,296
1901800010156,1355,322,899,134,61,183,209,377
1901800010211,1745,540,1172,33,103,223,173,443
1901800010226,1159,311,823,25,91,202,143,295
1901800010230,4914,1299,3504,111,357,698,623,1260
1901800010245,50,11,31,8,*,5,0,16
190180001025A,1695,447,1179,69,86,286,155,442
1901800010264,22,*,20,0,3,8,*,5
