origin_zone,dest_zone,dist_km,observed_flow,modeled_flow_beta20,modeled_flow_calibrated
08,03,20.30,137.00,243.68,559.59
03,08,22.32,137.00,88.17,218.47
69A,12F,27.03,136.00,41.43,119.62
38,13,16.76,136.00,154.55,304.49
13,38,16.16,136.00,56.55,108.21
12F,69A,25.53,136.00,218.49,602.72
38,68A,23.69,136.00,641.84,1668.17
45,41,12.40,135.00,97.16,150.44
39F,35,12.54,135.00,562.57,878.99
35,39F,12.00,135.00,91.18,137.57
41,45,11.32,135.00,46.00,66.25
15,63F,12.96,134.00,0.51,0.82
45,68B,29.46,134.00,100.12,309.73
63F,15,12.00,134.00,1.61,2.43
40,21A,17.64,134.00,276.51,567.67
40,20,10.64,133.00,29.39,40.26
37F,29F,6.52,133.00,391.36,362.72
04,70B,39.95,133.00,66.88,263.92
34,29F,8.57,132.00,188.09,216.88
29F,34,9.05,132.00,376.38,452.94
70A,17,26.92,132.00,83.93,241.59
37F,08,13.44,131.00,725.01,1197.74
17,18,21.64,131.00,73.46,177.55
18,17,22.19,131.00,238.86,589.02
08,37F,12.55,131.00,773.65,1209.39
02F,30F,22.15,128.00,165.74,408.14
26,14F,11.90,127.00,67.35,100.94
40,03,19.91,127.00,21.72,49.12
44,02F,30.02,127.00,47.46,149.04
02F,44,34.20,127.00,48.15,167.79
07,22,15.22,126.00,1023.27,1866.75
17,70A,24.41,126.00,122.01,324.75
23,02F,23.63,126.00,54.68,141.80
02F,23,27.81,126.00,9.38,27.70
02F,49F,19.59,126.00,6.02,13.44
49F,02F,19.03,126.00,4.49,9.80
60,69B,31.85,125.00,142.08,467.78
07,30F,19.94,125.00,947.33,2145.19
15,41,30.98,124.00,19.04,61.30
26,35,25.80,124.00,50.40,140.19
26,21B,13.54,124.00,859.69,1428.30
24A,41,24.06,124.00,27.68,72.81
35,26,26.01,124.00,32.81,91.88
41,24A,23.82,124.00,93.26,243.43
41,15,31.63,124.00,14.16,46.36
69B,35,18.94,124.00,175.15,380.50
68A,25,16.69,123.00,108.18,212.45
25,68A,16.22,123.00,271.22,520.64
34,42,13.55,120.00,557.21,926.41
68B,13,28.04,118.00,38.22,113.65
40,65B,20.65,118.00,84.08,195.75
45,06B,19.02,118.00,102.61,223.70
22,34,7.92,118.00,1007.02,1089.53
14F,21B,19.03,118.00,147.53,321.78
01,52,28.42,118.00,68.85,206.94
46F,35,35.12,118.00,48.61,173.04
65B,40,20.58,118.00,29.53,68.56
29F,69A,18.89,117.00,328.94,713.22
59,69A,27.97,117.00,156.60,464.71
07,24A,15.96,116.00,412.48,781.52
11F,65A,25.27,116.00,157.63,431.37
24A,07,15.49,116.00,457.36,846.22
53,70B,38.91,116.00,27.58,106.58
42,57,16.99,115.00,177.13,352.79
68A,02F,25.81,114.00,100.34,279.26
22,09,16.13,114.00,245.89,469.88
02F,68A,29.26,114.00,89.72,275.99
14F,24A,18.45,113.00,13.92,29.63
30F,65A,14.90,112.00,430.13,771.40
21B,14F,19.32,112.00,85.86,189.55
37F,20,10.79,110.00,124.14,172.06
60,53,13.85,110.00,4.06,6.86
15,69A,17.29,110.00,666.38,1346.04
53,60,13.77,110.00,10.35,17.43
20,37F,9.86,110.00,225.69,291.03
41,60,16.50,109.00,207.77,404.41
41,22,23.07,109.00,224.37,570.84
57,11F,14.64,109.00,26.89,47.55
22,41,22.23,109.00,44.67,110.33
54,12F,31.72,108.00,12.52,41.08
32,57,9.17,108.00,118.23,143.90
13,21A,22.32,108.00,187.64,464.88
11F,49F,34.58,108.00,1.92,6.75
49F,11F,35.96,108.00,0.61,2.20
39F,16,28.76,108.00,29.09,88.27
65A,12F,21.85,106.00,18.10,44.09
12F,65A,22.73,106.00,78.32,196.91
61,23,16.19,105.00,67.91,130.17
23,61,15.17,105.00,151.35,275.37
68A,63F,6.85,105.00,8.75,8.43
51F,70B,29.83,105.00,140.61,439.36
25,57,8.41,104.00,260.37,295.66
57,25,8.65,104.00,71.97,83.61
26,43,17.73,103.00,297.42,612.98
59,30F,20.86,102.00,64.21,150.70
54,06A,27.68,102.00,190.32,560.17
22,07,13.42,101.00,839.72,1385.41
42,15,32.54,101.00,14.77,49.48
04,03,32.47,100.00,3.83,12.81
63F,68A,7.57,100.00,51.24,53.45
03,04,33.56,100.00,1.88,6.46
40,69A,13.93,100.00,811.05,1378.43
