origin_zone,dest_zone,dist_km,observed_flow,modeled_flow_beta20,modeled_flow_calibrated
70A,13,16.64,383.00,65.36,128.06
54,06B,25.53,382.00,64.98,179.27
52,68B,28.98,382.00,260.83,796.27
12F,70B,26.86,381.00,285.56,820.36
23,06B,12.15,380.00,670.41,1021.29
06B,23,11.15,378.00,297.64,423.47
57,68B,15.57,377.00,374.35,695.42
57,69A,10.98,377.00,1410.40,1981.38
04,53,7.54,374.00,2.82,2.93
53,04,7.44,374.00,4.81,4.96
68B,11F,29.61,371.00,44.83,139.23
24A,12F,14.02,371.00,60.24,102.91
11F,68B,30.15,371.00,208.10,655.70
23,22,7.00,371.00,1270.13,1245.15
17,05,30.20,369.00,32.67,103.07
22,65A,10.85,367.00,580.86,808.58
69A,57,11.27,367.00,195.20,280.16
54,59,10.31,364.00,13.45,17.97
02F,68B,30.84,363.00,200.22,642.39
68B,02F,28.12,363.00,103.19,307.49
54,70A,29.70,363.00,116.10,361.50
01,42,17.55,363.00,243.39,497.52
20,21B,15.76,361.00,953.54,1788.52
22,06A,10.39,360.00,1748.85,2352.11
13,70A,15.06,360.00,415.22,751.31
02F,57,18.10,358.00,60.50,126.79
07,11F,24.51,355.00,93.27,249.06
37F,69B,18.20,354.00,832.05,1751.15
69B,37F,17.65,354.00,87.81,180.34
68B,57,15.96,354.00,252.94,479.32
29F,24B,18.41,352.00,218.05,463.17
65B,35,23.82,351.00,203.43,531.02
35,65B,24.38,351.00,180.99,481.28
01,69B,10.92,349.00,1404.04,1964.60
69B,01,11.05,348.00,82.49,116.50
13,49F,10.58,347.00,9.90,13.50
26,15,7.49,347.00,66.65,69.01
02F,69A,25.82,346.00,534.84,1488.90
69A,02F,23.96,346.00,54.71,143.47
16,63F,4.57,342.00,16.32,11.38
30,61,27.67,342.00,71.28,209.72
61,30,27.06,342.00,83.06,240.08
46F,42,31.80,342.00,70.05,230.37
09,25,20.02,341.00,146.87,333.62
20,02F,10.91,340.00,195.55,273.33
57,24A,5.60,340.00,344.06,282.33
02F,20,13.24,340.00,42.97,70.13
37F,68A,19.85,340.00,374.12,843.94
61,06A,20.75,339.00,1596.10,3730.72
03,13,16.85,338.00,20.96,41.48
13,03,16.10,338.00,36.10,68.87
23,37F,16.60,337.00,104.51,204.38
60,03,16.83,336.00,69.12,136.69
03,60,16.89,336.00,54.65,108.37
15,26,8.29,333.00,136.16,152.85
24B,35,15.72,333.00,1001.08,1874.51
11F,07,23.47,332.00,404.26,1042.65
30F,09,22.20,331.00,181.09,446.81
45,70A,20.16,331.00,220.72,504.24
38,24A,12.36,330.00,696.51,1075.70
59,17,15.12,329.00,46.68,84.73
17,59,14.68,329.00,4.71,8.35
60,21B,25.72,328.00,387.62,1075.55
03,41,17.86,327.00,65.98,136.81
39F,51F,9.15,327.00,59.32,72.03
41,65A,24.37,327.00,398.65,1059.50
40,68A,11.61,326.00,251.25,369.24
65A,01,14.96,326.00,13.92,25.05
01,65A,15.09,326.00,519.58,941.22
12F,57,16.02,322.00,30.86,58.64
25,09,17.96,322.00,273.09,568.70
21B,02F,17.65,322.00,167.01,342.98
02F,21B,22.39,322.00,509.55,1265.54
18,49F,16.61,321.00,31.68,61.98
69B,02F,25.39,321.00,44.99,123.57
20,60,10.53,317.00,202.72,275.45
60,20,10.65,317.00,66.68,91.44
49F,13,10.58,316.00,5.35,7.30
12F,02F,22.59,316.00,19.63,49.12
61,01,14.46,315.00,102.25,179.09
42,01,17.15,315.00,76.39,153.32
57,65B,16.18,315.00,147.82,283.23
06B,20,9.39,314.00,435.72,540.46
20,06B,11.14,314.00,607.13,863.24
07,49F,18.01,313.00,33.00,68.88
57,12F,16.26,312.00,43.61,83.85
30,26,25.16,312.00,50.47,137.64
49F,18,17.62,312.00,19.41,39.80
13,08,9.67,311.00,350.11,444.32
08,13,9.58,311.00,518.28,652.99
25,30F,7.98,310.00,1186.01,1291.43
20,09,11.46,309.00,669.56,973.33
04,70A,37.64,308.00,28.71,108.03
65A,26,9.55,308.00,65.74,82.59
