feature,total,Typology A,Typology B,Typology C
v_ridership_annual_n,6.301781807094812,2.3785250186920166,3.8818695545196533,0.04138723388314247
pe_marginacion_n,4.008241891860962,1.4264216423034668,0.0,2.581820249557495
pe_population_n,1.2996467649936676,0.3650425374507904,0.0,0.9346042275428772
pe_youth_share_n,0.6104980856180191,0.3779739439487457,0.0,0.23252414166927338
n_intersection_density_n,0.3154289461672306,0.02390514686703682,0.13023622334003448,0.1612875759601593
p_poi_density_n,0.15911206603050232,0.03958078846335411,0.06361649185419083,0.05591478571295738
pe_dep_ratio_n,0.12496115267276764,0.12496115267276764,0.0,0.0
pe_rezago_n,0.04846801050007343,0.006273658946156502,0.0,0.04219435155391693
p_employment_proxy_n,0.04274342954158783,0.0,0.019958240911364555,0.022785188630223274
pe_pop_density_n,0.02037464827299118,0.0,0.0,0.02037464827299118
n_street_density_n,0.002355948556214571,0.0,0.0,0.002355948556214571
p_land_use_mix_n,0.001659655594266951,0.001659655594266951,0.0,0.0
n_intersections_n,0.0005304245860315859,0.0,0.0,0.0005304245860315859
p_retail_density_n,0.00017937108350452036,0.0,0.0,0.00017937108350452036
p_service_density_n,0.0,0.0,0.0,0.0
v_ntl_median_n,0.0,0.0,0.0,0.0
