cve_ageb,n_intersections,n_intersection_density,n_street_density,p_poi_density,p_employment_proxy,p_retail_density,p_service_density,p_land_use_mix,pe_population,pe_pop_density,pe_dep_ratio,pe_youth_share,pe_marginacion,pe_rezago,v_ridership_annual,n_intersections_n,n_intersection_density_n,n_street_density_n,p_poi_density_n,p_employment_proxy_n,p_retail_density_n,p_service_density_n,p_land_use_mix_n,pe_population_n,pe_pop_density_n,pe_dep_ratio_n,pe_youth_share_n,pe_marginacion_n,pe_rezago_n,v_ridership_annual_n
1400200020219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,425.03340839423356,0.23529411764705882,0.0,121.52193575,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3155444333240061,0.5684291301184243,0.0784313725490196,0.0,0.24320171091662124,0.25,0.0
1400200020045,0.0,0.0,0.0,462.68979891975306,120.0,240.9842702707047,19.278741621656376,1.0336807186324808,4496,8667.722233096707,0.5302927161334241,0.17660142348754448,121.302354,15.829787234,0.0,0.0,0.0,0.0,0.6703710161278813,0.5106525382328262,0.6127437909454186,0.48071004799704503,0.7093517296410351,0.8586412454145501,0.8513011408622289,0.17676423871114136,0.20108552066157792,0.25199350603901405,0.197872340425,0.0
1400200020172,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,121.52193575,15.1394422311,0.0,0.0,0.0,0.0,0.5039475945017607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24320171091662124,0.18924302788875,0.0
1400200020261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96,2257.921971413246,0.6842105263157895,0.22916666666666666,117.2627231,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467002509708211,0.7250412662888027,0.2280701754385965,0.26093843172331543,0.41373557815059403,0.1875,0.0
1400200020149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,1140.471917454965,0.8823529411764706,0.0,121.52193575,42.8571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569357308235414,0.6609581831027267,0.29411764705882354,0.0,0.24320171091662124,0.53571428571375,0.0
1400200020242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,400.0,0.0,0.0,121.52193575,15.1394422311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642970556737026,0.5627437909013866,0.0,0.0,0.24320171091662124,0.18924302788875,0.0
1400200020223,0.0,0.0,0.0,144.69750236477557,0.0,72.34875118238779,0.0,0.6931471805599453,78,5643.202592226247,0.625,0.15384615384615385,120.2731381,23.8095238095,0.0,0.0,0.0,0.0,0.5439579197976554,0.0,0.4794923975722131,0.0,0.4756644315437017,0.4460485313126417,0.8110157422823948,0.20833333333333334,0.1751754506674006,0.2932021006945764,0.29761904761875,0.0
1400200020327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,753.5159974677615,0.39285714285714285,0.23076923076923078,121.52193575,44.4444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37657372699113123,0.6220899888640975,0.13095238095238096,0.2627631760011009,0.24320171091662124,0.555555555555,0.0
1400200020153,0.0,0.0,0.0,179.29917117819582,0.0,128.07083655585416,0.0,0.7963116401738131,338,8657.58855117574,0.5363636363636364,0.1863905325443787,119.2299745,26.5957446809,0.0,0.0,0.0,0.0,0.5672257096445706,0.0,0.542580672377869,0.0,0.5464598778991236,0.5947384839155615,0.8511913255459781,0.1787878787878788,0.21223179600088918,0.334969144860759,0.33244680851125,0.0
1400200020257,0.0,0.0,0.0,36.532660290821845,0.0,0.0,0.0,0.0,65,2374.6229189034198,0.6666666666666666,0.2,121.52193575,26.6666666667,0.0,0.0,0.0,0.0,0.395854584036683,0.0,0.0,0.0,0.0,0.4276946212626842,0.7297704465515676,0.2222222222222222,0.22772808586762075,0.24320171091662124,0.33333333333375,0.0
1400200020238,0.0,0.0,0.0,97.15180861534341,0.0,48.575904307671706,0.0,0.6931471805599453,56,2720.2506412296157,0.6,0.23214285714285715,121.52193575,16.6666666667,0.0,0.0,0.0,0.0,0.5008240560863487,0.0,0.43576313746494844,0.0,0.4756644315437017,0.4127288254558535,0.7425230393928239,0.19999999999999998,0.26432724252491696,0.24320171091662124,0.20833333333374998,0.0
