codigo_act,per_ocu,cve_ent,cve_mun,cve_loc,ageb
236221,11 a 30 personas,19,039,0001,0550
238222,31 a 50 personas,19,026,0001,0124
236222,0 a 5 personas,19,039,0001,1741
236111,0 a 5 personas,19,019,0001,0577
236221,0 a 5 personas,19,006,0001,0278
236111,51 a 100 personas,19,039,0001,0512
236111,11 a 30 personas,19,026,0001,1989
238311,51 a 100 personas,19,006,0001,0259
236112,11 a 30 personas,19,039,0001,1205
238320,11 a 30 personas,19,039,0001,0601
238190,6 a 10 personas,19,039,0001,0917
236211,101 a 250 personas,19,046,0001,1290
236111,51 a 100 personas,19,039,0001,1690
238990,0 a 5 personas,19,031,0001,0143
236111,11 a 30 personas,19,019,0001,0420
238290,11 a 30 personas,19,039,0001,1347
236111,6 a 10 personas,19,048,0001,0333
237121,0 a 5 personas,19,048,0001,0352
236111,51 a 100 personas,19,021,0155,0842
236111,11 a 30 personas,19,026,0001,0321
238222,11 a 30 personas,19,039,0001,064A
238222,6 a 10 personas,19,039,0001,1313
238311,6 a 10 personas,19,039,0001,4303
238311,6 a 10 personas,19,039,0001,1826
238311,0 a 5 personas,19,039,0001,0601
238390,11 a 30 personas,19,039,0001,0739
238311,11 a 30 personas,19,019,0001,0011
238311,6 a 10 personas,19,046,0001,0095
238311,0 a 5 personas,19,039,0001,0777
238290,31 a 50 personas,19,006,0001,0174
238990,11 a 30 personas,19,039,0001,2256
236111,0 a 5 personas,19,019,0001,0098
238130,0 a 5 personas,19,021,0001,0306
236221,0 a 5 personas,19,039,0001,1826
238130,0 a 5 personas,19,019,0001,0083
238990,6 a 10 personas,19,049,0001,0307
237212,11 a 30 personas,19,039,0001,0601
238210,11 a 30 personas,19,046,0001,1534
236211,11 a 30 personas,19,021,0001,0429
236221,11 a 30 personas,19,039,0001,1826
238190,0 a 5 personas,19,039,0001,1826
238222,0 a 5 personas,19,049,0001,0167
236111,0 a 5 personas,19,019,0001,0350
236221,11 a 30 personas,19,019,0001,0083
236221,6 a 10 personas,19,046,0001,0790
238190,0 a 5 personas,19,018,0001,0546
236111,11 a 30 personas,19,039,0001,210A
237212,0 a 5 personas,19,039,0001,0033
238221,11 a 30 personas,19,026,0001,2205
238210,31 a 50 personas,19,039,0001,4106
238210,11 a 30 personas,19,046,0001,1248
236112,51 a 100 personas,19,039,0001,1826
237312,6 a 10 personas,19,039,0001,2241
236221,31 a 50 personas,19,039,0001,2241
238210,11 a 30 personas,19,039,0001,0781
236112,101 a 250 personas,19,039,0001,1690
238210,0 a 5 personas,19,039,0001,4411
236111,0 a 5 personas,19,019,0001,0100
236221,11 a 30 personas,19,039,0001,5087
236111,101 a 250 personas,19,039,0001,1845
238340,11 a 30 personas,19,039,0001,1845
237121,101 a 250 personas,19,019,0001,0365
236211,0 a 5 personas,19,048,0001,1613
236211,101 a 250 personas,19,019,0001,0083
236111,0 a 5 personas,19,006,0001,2221
236211,11 a 30 personas,19,006,0001,0210
236221,11 a 30 personas,19,039,0001,3714
236221,11 a 30 personas,19,006,0001,0085
236113,0 a 5 personas,19,046,0001,0216
237994,0 a 5 personas,19,039,0001,4159
236112,31 a 50 personas,19,039,0001,1722
236112,251 y más personas,19,039,0001,1915
236211,0 a 5 personas,19,039,0001,1332
237112,11 a 30 personas,19,039,0001,1277
236112,11 a 30 personas,19,039,0001,1648
238221,11 a 30 personas,19,039,0001,2025
238122,11 a 30 personas,19,018,0015,0207
238290,0 a 5 personas,19,039,0001,2218
237131,11 a 30 personas,19,039,0001,1046
238210,31 a 50 personas,19,039,0001,1224
236111,0 a 5 personas,19,039,0001,3023
237111,51 a 100 personas,19,019,0001,0350
238221,6 a 10 personas,19,026,0001,0162
238210,0 a 5 personas,19,039,0001,0599
237131,251 y más personas,19,046,0001,1144
238210,6 a 10 personas,19,039,0001,1224
236221,11 a 30 personas,19,026,0001,0641
236211,11 a 30 personas,19,039,0001,0692
236111,101 a 250 personas,19,026,0001,1160
236111,0 a 5 personas,19,039,0001,4248
236111,0 a 5 personas,19,019,0001,0083
236211,6 a 10 personas,19,046,0001,0095
238190,6 a 10 personas,19,039,0001,1563
236221,11 a 30 personas,19,021,0001,0236
236111,11 a 30 personas,19,039,0001,2025
238210,0 a 5 personas,19,021,0001,0679
236221,11 a 30 personas,19,019,0001,0172
236211,101 a 250 personas,19,048,0001,062A
236111,11 a 30 personas,19,026,0001,2474
238210,0 a 5 personas,19,039,0001,3837
236111,31 a 50 personas,19,019,0001,0365
238210,6 a 10 personas,19,048,0001,016A
236211,31 a 50 personas,19,018,0105,0300
238210,0 a 5 personas,19,039,0001,0870
238190,0 a 5 personas,19,039,0001,4661
236111,6 a 10 personas,19,026,0001,1565
236111,6 a 10 personas,19,006,0001,1524
238222,6 a 10 personas,19,039,0001,1277
238990,0 a 5 personas,19,039,0001,096A
238130,0 a 5 personas,19,039,0001,1991
238311,0 a 5 personas,19,039,0001,502A
238350,6 a 10 personas,19,026,0001,1565
238340,11 a 30 personas,19,026,0001,0779
238340,0 a 5 personas,19,026,0001,1194
238222,31 a 50 personas,19,039,0001,1582
238990,11 a 30 personas,19,039,0001,1012
237111,11 a 30 personas,19,039,0001,3610
238210,0 a 5 personas,19,026,0001,157A
238221,11 a 30 personas,19,039,0001,2754
236111,0 a 5 personas,19,026,0001,0317
238190,0 a 5 personas,19,039,0001,0809
237111,0 a 5 personas,19,039,0001,0052
237212,0 a 5 personas,19,039,0001,1722
237133,6 a 10 personas,19,026,0001,0302
237212,0 a 5 personas,19,039,0001,1544
236222,11 a 30 personas,19,019,0001,0115
236113,0 a 5 personas,19,039,0001,1652
236221,101 a 250 personas,19,039,0001,2985
237212,101 a 250 personas,19,039,0001,5142
237992,11 a 30 personas,19,039,0001,4483
238990,101 a 250 personas,19,039,0001,1370
237212,11 a 30 personas,19,039,0001,395A
236112,31 a 50 personas,19,026,0001,1419
236111,0 a 5 personas,19,039,0001,5265
236111,0 a 5 personas,19,031,0001,0270
236111,11 a 30 personas,19,039,0001,4854
236111,0 a 5 personas,19,046,0001,0362
236111,0 a 5 personas,19,019,0001,0083
236221,0 a 5 personas,19,019,0001,044A
237132,0 a 5 personas,19,026,0001,1584
238210,0 a 5 personas,19,039,0001,1309
238350,11 a 30 personas,19,019,0001,0242
236221,11 a 30 personas,19,019,0001,0083
238190,6 a 10 personas,19,026,0001,0586
238350,0 a 5 personas,19,046,0001,1568
236221,51 a 100 personas,19,039,0001,1563
236111,11 a 30 personas,19,039,0001,0902
236111,0 a 5 personas,19,039,0001,089A
237312,11 a 30 personas,19,039,0001,139A
236111,0 a 5 personas,19,019,0001,0100
237131,101 a 250 personas,19,048,0001,0564
238350,6 a 10 personas,19,039,0001,4144
238350,0 a 5 personas,19,039,0001,4750
238340,0 a 5 personas,19,039,0001,1192
236111,101 a 250 personas,19,019,0001,0149
236112,0 a 5 personas,19,039,0001,1741
236111,251 y más personas,19,039,0001,1741
236111,11 a 30 personas,19,006,0001,2306
236111,11 a 30 personas,19,039,0001,1760
236111,31 a 50 personas,19,039,0001,1760
236111,11 a 30 personas,19,039,0001,1737
236111,11 a 30 personas,19,039,0001,1737
236111,31 a 50 personas,19,046,0001,1144
236111,0 a 5 personas,19,018,0212,1633
236111,11 a 30 personas,19,018,0212,1629
236111,0 a 5 personas,19,006,0379,1986
236111,0 a 5 personas,19,031,0313,1796
236111,0 a 5 personas,19,006,0001,1577
236111,6 a 10 personas,19,031,0001,0073
236111,0 a 5 personas,19,031,0001,0073
236111,0 a 5 personas,19,031,0001,029A
236111,0 a 5 personas,19,018,0212,0635
238210,31 a 50 personas,19,026,0001,189A
237212,11 a 30 personas,19,039,0001,1313
238190,6 a 10 personas,19,039,0001,5547
236211,11 a 30 personas,19,046,0001,1356
238222,101 a 250 personas,19,019,0001,0115
236111,11 a 30 personas,19,039,0001,1205
236111,6 a 10 personas,19,048,0001,1492
237999,0 a 5 personas,19,006,0001,0507
238990,11 a 30 personas,19,046,0001,1642
236111,11 a 30 personas,19,039,0001,0866
236222,0 a 5 personas,19,039,0001,1741
238290,51 a 100 personas,19,046,0001,0381
237132,6 a 10 personas,19,039,0001,1455
236211,11 a 30 personas,19,006,0001,0687
236221,11 a 30 personas,19,039,0001,2932
238110,0 a 5 personas,19,039,0001,0442
236111,0 a 5 personas,19,039,0001,0673
236221,11 a 30 personas,19,048,0001,0282
238210,31 a 50 personas,19,026,0001,0143
238222,11 a 30 personas,19,039,0001,0334
238222,0 a 5 personas,19,026,0001,0459
238222,0 a 5 personas,19,021,0001,033A
238222,0 a 5 personas,19,021,0001,033A
238222,6 a 10 personas,19,039,0001,0546
238222,0 a 5 personas,19,019,0001,0581
238290,0 a 5 personas,19,039,0001,1474
237212,0 a 5 personas,19,039,0001,0870
236111,11 a 30 personas,19,039,0001,1417
236211,0 a 5 personas,19,039,0001,2275
236211,0 a 5 personas,19,039,0001,4676
238320,11 a 30 personas,19,039,0001,4676
238221,31 a 50 personas,19,039,0001,0601
236111,0 a 5 personas,19,006,0388,2486
236221,11 a 30 personas,19,039,0001,4159
236211,11 a 30 personas,19,026,0001,1688
237112,0 a 5 personas,19,039,0001,0828
236221,51 a 100 personas,19,039,0001,2006
236111,6 a 10 personas,19,039,0001,0758
237312,51 a 100 personas,19,019,0001,0153
237131,51 a 100 personas,19,048,0170,0653
238390,0 a 5 personas,19,039,0001,0955
236221,51 a 100 personas,19,018,0001,0936
237212,0 a 5 personas,19,039,0001,2294
236111,11 a 30 personas,19,021,0001,1130
237312,11 a 30 personas,19,039,0001,3964
238910,0 a 5 personas,19,021,0001,0490
238130,6 a 10 personas,19,019,0001,0191
238210,31 a 50 personas,19,039,0001,4110
237212,31 a 50 personas,19,039,0001,1154
237992,0 a 5 personas,19,048,0001,0282
238222,11 a 30 personas,19,039,0001,1578
236112,0 a 5 personas,19,046,0001,1515
237312,0 a 5 personas,19,039,0001,1489
236111,11 a 30 personas,19,039,0001,0777
236211,0 a 5 personas,19,026,0001,0181
236112,11 a 30 personas,19,039,0001,3080
238990,0 a 5 personas,19,031,0001,0143
237312,11 a 30 personas,19,026,0001,0548
237312,11 a 30 personas,19,039,0001,1169
237312,11 a 30 personas,19,039,0001,064A
237312,0 a 5 personas,19,039,0001,0673
236221,6 a 10 personas,19,019,0001,0079
237212,0 a 5 personas,19,039,0001,2063
237212,0 a 5 personas,19,039,0001,1489
238910,0 a 5 personas,19,046,0001,0131
237111,0 a 5 personas,19,046,0001,088A
236111,251 y más personas,19,019,0001,0115
236221,11 a 30 personas,19,046,0001,0057
237131,11 a 30 personas,19,039,0001,5087
236211,6 a 10 personas,19,006,0001,1172
236111,101 a 250 personas,19,039,0001,1578
236211,0 a 5 personas,19,039,0001,2985
236111,31 a 50 personas,19,039,0001,114A
237993,11 a 30 personas,19,006,0001,0259
237212,11 a 30 personas,19,046,0001,0466
236221,0 a 5 personas,19,039,0001,2010
236112,0 a 5 personas,19,019,0001,0420
236221,0 a 5 personas,19,046,0001,0485
236211,0 a 5 personas,19,039,0001,1277
236111,51 a 100 personas,19,021,0001,0787
236111,0 a 5 personas,19,019,0001,0172
236111,0 a 5 personas,19,019,0001,0079
237212,51 a 100 personas,19,039,0001,1614
238210,31 a 50 personas,19,021,0001,0626
236111,0 a 5 personas,19,039,0001,089A
237212,11 a 30 personas,19,026,0001,1461
236221,11 a 30 personas,19,039,0001,1807
237312,51 a 100 personas,19,039,0001,4731
237121,6 a 10 personas,19,019,0001,0581
237312,6 a 10 personas,19,046,0001,1483
236211,0 a 5 personas,19,019,0001,0488
236211,11 a 30 personas,19,046,0001,1290
