cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
15,076,0001,0147,221312,51 a 100 personas
15,005,0032,0484,221312,6 a 10 personas
15,054,0049,1237,221312,0 a 5 personas
15,018,0001,0139,221312,6 a 10 personas
15,072,0001,0059,221312,0 a 5 personas
15,118,0001,0079,221312,101 a 250 personas
15,090,0001,0199,221312,31 a 50 personas
15,054,0001,0722,221312,251 y mÃ¡s personas
15,076,0001,0147,221312,51 a 100 personas
15,106,0070,1786,221311,6 a 10 personas
15,106,0043,4884,221312,0 a 5 personas
15,106,0043,4884,221312,6 a 10 personas
15,106,0064,4969,221311,11 a 30 personas
15,106,0064,4969,221311,11 a 30 personas
15,106,0064,4969,221311,11 a 30 personas
15,106,0001,0538,221312,6 a 10 personas
15,106,0001,0576,221312,6 a 10 personas
15,106,0001,0453,221312,6 a 10 personas
15,106,0235,4507,221312,6 a 10 personas
15,106,0086,4225,221312,251 y mÃ¡s personas
15,106,0086,4225,221312,6 a 10 personas
15,106,0001,0523,221312,6 a 10 personas
15,005,0001,0164,221312,31 a 50 personas
15,051,0001,0186,221312,251 y mÃ¡s personas
15,106,0090,4333,221312,0 a 5 personas
15,106,0090,4314,221312,0 a 5 personas
15,106,0090,430A,221312,0 a 5 personas
15,106,0075,4136,221312,6 a 10 personas
15,051,0020,0330,221312,0 a 5 personas
15,106,0084,4600,221312,6 a 10 personas
15,062,0023,0033,221312,0 a 5 personas
15,051,0001,0453,221312,0 a 5 personas
15,051,0086,0487,221312,0 a 5 personas
15,106,0238,3443,221312,31 a 50 personas
15,106,0211,5064,221311,0 a 5 personas
15,005,0165,0516,221311,0 a 5 personas
15,051,0001,0453,221312,0 a 5 personas
15,051,0022,0364,221312,0 a 5 personas
15,051,0001,0260,221312,0 a 5 personas
15,051,0001,0186,221312,0 a 5 personas
15,054,0049,1218,221312,0 a 5 personas
15,051,0001,0186,221312,0 a 5 personas
15,051,0001,0472,221312,0 a 5 personas
15,106,0062,2407,221311,0 a 5 personas
15,067,0005,0218,221312,11 a 30 personas
15,054,0038,1010,221312,0 a 5 personas
