cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
01,001,0001,1994,238190,0 a 5 personas
01,001,0001,1547,236221,6 a 10 personas
01,001,0001,3717,238350,0 a 5 personas
01,001,0001,2085,238190,0 a 5 personas
01,001,0001,4433,236111,11 a 30 personas
01,001,0001,1458,236111,11 a 30 personas
01,001,0001,2278,236111,101 a 250 personas
01,001,0001,1195,236111,11 a 30 personas
01,001,0001,1195,236111,11 a 30 personas
01,001,0001,1161,236111,31 a 50 personas
01,001,0001,1161,236111,11 a 30 personas
01,001,0001,1161,236111,11 a 30 personas
01,001,0915,1763,236111,11 a 30 personas
01,001,0001,2117,238210,11 a 30 personas
01,001,0001,2278,238290,0 a 5 personas
01,001,0001,0322,238990,0 a 5 personas
01,001,0001,0801,238990,0 a 5 personas
01,001,0001,1477,237312,51 a 100 personas
01,001,0001,2009,236111,11 a 30 personas
01,001,0001,0360,237312,31 a 50 personas
01,001,0001,3083,237212,31 a 50 personas
01,005,0050,0035,236112,11 a 30 personas
01,001,0001,1975,238210,0 a 5 personas
01,001,0001,2070,237212,11 a 30 personas
01,001,0001,2475,236211,11 a 30 personas
01,001,0001,1509,236211,0 a 5 personas
01,001,0001,0233,236111,6 a 10 personas
01,001,0001,0591,237131,0 a 5 personas
01,001,0001,4359,237131,11 a 30 personas
01,001,0001,2013,237111,11 a 30 personas
01,001,0001,198A,237111,6 a 10 personas
01,001,0001,1462,237111,11 a 30 personas
01,001,0001,2259,236111,11 a 30 personas
01,001,0001,2259,236111,0 a 5 personas
01,001,0001,2526,237212,11 a 30 personas
01,001,1025,4541,238110,0 a 5 personas
01,001,0001,0233,236211,101 a 250 personas
01,011,0151,009A,238122,51 a 100 personas
01,005,0050,0035,238311,0 a 5 personas
01,001,0001,2140,238210,6 a 10 personas
01,001,0992,1763,236211,11 a 30 personas
01,001,0001,4359,236112,51 a 100 personas
01,001,0001,2009,236221,31 a 50 personas
01,001,0001,2140,236111,0 a 5 personas
01,011,0001,0051,236211,0 a 5 personas
01,001,0001,2282,236211,11 a 30 personas
01,001,0001,2259,236211,11 a 30 personas
01,001,0001,4359,236211,51 a 100 personas
01,001,0001,0712,236221,0 a 5 personas
01,001,0001,2278,236111,11 a 30 personas
01,001,0001,0534,237212,51 a 100 personas
01,001,0001,2278,236112,51 a 100 personas
01,001,0001,0835,238320,0 a 5 personas
01,001,0001,2371,236211,51 a 100 personas
01,001,0001,2460,236221,11 a 30 personas
01,001,0001,248A,236111,0 a 5 personas
01,001,0001,1354,236211,51 a 100 personas
01,001,0001,2259,236211,31 a 50 personas
01,001,0001,2259,236111,11 a 30 personas
01,001,0001,3581,236111,0 a 5 personas
01,001,0001,4359,236112,11 a 30 personas
01,001,0001,2066,236221,6 a 10 personas
01,001,0001,0888,236221,0 a 5 personas
01,005,0468,0618,237312,0 a 5 personas
01,005,0468,0618,237312,11 a 30 personas
01,001,0001,0233,236113,0 a 5 personas
01,001,0001,2051,237212,51 a 100 personas
01,001,0001,3079,238210,11 a 30 personas
01,001,0001,4359,236111,11 a 30 personas
01,001,0992,1763,236211,6 a 10 personas
01,001,0001,4359,236112,51 a 100 personas
01,005,0050,0035,236221,0 a 5 personas
01,005,0050,0035,238910,6 a 10 personas
01,001,0001,0623,238110,11 a 30 personas
01,001,0001,0623,236111,0 a 5 personas
01,001,0001,4363,236111,0 a 5 personas
01,001,0001,4490,236112,101 a 250 personas
01,001,0001,2278,236111,251 y más personas
01,001,0001,1458,236111,0 a 5 personas
01,001,0001,2263,236111,11 a 30 personas
01,001,0001,3172,237111,0 a 5 personas
01,005,0001,0228,238910,0 a 5 personas
01,001,0001,2263,237131,51 a 100 personas
01,001,0001,198A,238130,0 a 5 personas
01,001,0001,0290,236221,0 a 5 personas
01,001,0001,0835,236111,0 a 5 personas
01,005,0001,068A,236111,11 a 30 personas
01,005,0001,068A,236111,11 a 30 personas
01,001,0001,0820,237312,31 a 50 personas
01,001,0001,0642,238130,0 a 5 personas
01,001,0001,287A,238110,0 a 5 personas
01,001,0001,0568,236221,101 a 250 personas
01,001,0001,0873,237112,11 a 30 personas
01,001,0001,0816,237212,51 a 100 personas
01,001,0001,1975,236111,6 a 10 personas
01,005,0023,043A,238390,0 a 5 personas
01,005,0481,0054,236111,31 a 50 personas
01,001,0001,0642,236111,0 a 5 personas
01,001,0001,0500,236111,0 a 5 personas
01,001,0001,3331,237212,0 a 5 personas
01,001,0001,0500,236221,0 a 5 personas
01,001,0001,0905,236112,0 a 5 personas
01,001,0001,0572,236221,11 a 30 personas
01,001,0001,2672,236221,0 a 5 personas
01,001,0001,1636,236111,101 a 250 personas
01,001,0001,0638,237312,0 a 5 personas
01,001,0001,3280,238121,0 a 5 personas
01,001,0001,2259,236111,31 a 50 personas
01,001,0001,2259,236111,11 a 30 personas
01,001,0001,465A,236111,11 a 30 personas
01,001,0001,2263,236111,0 a 5 personas
01,001,0001,0623,236211,0 a 5 personas
01,001,0001,4359,236111,6 a 10 personas
01,001,0001,4359,236221,11 a 30 personas
01,001,0001,0623,236111,11 a 30 personas
01,001,0001,1547,236111,11 a 30 personas
01,001,0001,1975,238210,51 a 100 personas
01,001,0001,0708,236111,11 a 30 personas
01,001,0001,4359,236111,11 a 30 personas
01,001,0001,0286,236111,11 a 30 personas
01,001,0001,2371,236111,0 a 5 personas
01,001,0001,1636,236111,0 a 5 personas
01,001,0001,209A,236221,6 a 10 personas
01,001,0001,2371,236112,11 a 30 personas
01,001,2350,1918,237131,11 a 30 personas
01,001,0001,2070,238190,6 a 10 personas
01,001,0001,0604,236221,0 a 5 personas
01,001,0001,0619,236221,6 a 10 personas
01,001,0001,0619,236221,11 a 30 personas
01,001,0001,3219,236221,6 a 10 personas
01,001,0001,2761,236221,0 a 5 personas
01,001,0001,052A,236111,0 a 5 personas
01,001,0001,0869,236211,6 a 10 personas
01,001,0001,2278,237212,6 a 10 personas
01,001,0001,2390,236221,11 a 30 personas
01,001,0001,0892,237312,31 a 50 personas
01,001,0001,2070,237212,11 a 30 personas
01,001,0001,0820,237212,31 a 50 personas
01,001,0001,376A,236111,11 a 30 personas
01,001,0001,0708,236111,11 a 30 personas
01,001,0001,0888,238210,6 a 10 personas
01,001,0001,0587,238210,6 a 10 personas
01,001,0001,0341,238210,0 a 5 personas
01,001,0001,2348,238210,6 a 10 personas
01,001,0001,1975,238210,0 a 5 personas
01,001,0001,2422,238290,6 a 10 personas
01,001,0001,2140,238210,0 a 5 personas
01,001,0001,0962,238210,6 a 10 personas
01,001,2448,1759,236111,0 a 5 personas
01,001,0001,3685,238390,0 a 5 personas
01,001,0001,1547,236111,6 a 10 personas
01,001,0001,230A,237312,0 a 5 personas
01,001,0001,2259,237312,0 a 5 personas
01,001,0001,0888,236211,11 a 30 personas
01,001,0001,2988,238121,11 a 30 personas
01,001,0001,2808,238122,6 a 10 personas
01,001,0001,3083,236211,101 a 250 personas
01,005,0105,0035,236211,6 a 10 personas
01,001,0001,0727,236211,6 a 10 personas
01,001,0001,0233,238910,0 a 5 personas
01,005,0050,0035,236111,11 a 30 personas
01,001,0001,3098,236221,31 a 50 personas
01,001,0001,0337,236221,31 a 50 personas
01,005,0180,0035,237131,51 a 100 personas
01,001,0001,0464,238130,0 a 5 personas
01,001,0001,0568,238290,0 a 5 personas
01,011,0052,016A,236111,31 a 50 personas
01,001,0001,1636,236221,11 a 30 personas
01,011,0052,016A,236111,31 a 50 personas
01,001,0001,052A,238210,11 a 30 personas
01,005,0482,0711,236111,31 a 50 personas
01,001,1025,3948,238910,0 a 5 personas
01,001,0001,0341,238390,6 a 10 personas
01,001,1025,3952,236111,0 a 5 personas
01,001,0001,2386,236221,51 a 100 personas
01,001,0001,2259,236221,31 a 50 personas
01,001,0001,1975,237212,0 a 5 personas
01,001,0001,2070,236211,0 a 5 personas
01,001,0001,0356,237131,6 a 10 personas
01,001,0001,3740,237212,6 a 10 personas
01,001,0001,038A,236211,51 a 100 personas
01,001,0001,2278,236111,51 a 100 personas
01,001,0001,3295,236112,51 a 100 personas
01,001,0001,2761,236221,0 a 5 personas
01,005,0468,0618,236221,31 a 50 personas
01,001,0001,2263,236111,11 a 30 personas
01,001,0001,0591,236111,51 a 100 personas
01,001,0001,0591,236111,101 a 250 personas
01,001,0001,1477,236211,251 y más personas
01,001,0001,1477,236211,11 a 30 personas
01,001,0815,1138,238910,6 a 10 personas
01,001,0001,0356,236221,0 a 5 personas
01,001,0001,3257,236211,11 a 30 personas
01,001,0001,2028,236221,11 a 30 personas
01,001,0001,1477,238210,11 a 30 personas
01,001,0001,3295,236112,51 a 100 personas
01,001,0001,2259,238122,11 a 30 personas
01,005,0118,0035,238910,31 a 50 personas
01,001,0001,2403,236111,11 a 30 personas
01,001,0001,3914,237213,0 a 5 personas
01,001,0001,0708,236211,101 a 250 personas
01,001,0001,2403,236111,11 a 30 personas
01,001,0001,4414,237312,0 a 5 personas
01,001,0001,0854,236111,0 a 5 personas
01,001,0001,4560,238390,0 a 5 personas
01,001,0001,0290,236111,11 a 30 personas
01,001,0001,2403,236112,31 a 50 personas
01,001,0001,2831,238210,0 a 5 personas
01,005,0102,0035,237312,11 a 30 personas
01,005,0023,043A,236112,11 a 30 personas
01,001,0001,0407,236111,31 a 50 personas
01,001,0001,2070,236111,6 a 10 personas
01,001,0001,4560,236111,0 a 5 personas
01,001,0001,401A,236111,11 a 30 personas
01,001,0001,0233,237212,11 a 30 personas
01,001,0001,1227,238121,0 a 5 personas
01,001,0001,2475,236221,0 a 5 personas
01,001,0001,198A,236221,0 a 5 personas
01,001,0001,2403,236221,6 a 10 personas
01,001,0001,0591,238190,0 a 5 personas
01,001,0001,2687,236211,51 a 100 personas
01,001,0001,2263,236211,0 a 5 personas
01,001,0001,3257,238190,0 a 5 personas
01,001,0001,2422,237111,6 a 10 personas
01,005,0001,0355,236111,11 a 30 personas
01,001,0001,3581,238350,0 a 5 personas
01,005,0245,0603,236221,11 a 30 personas
01,005,0245,0603,236111,0 a 5 personas
01,001,0001,2259,236112,31 a 50 personas
01,001,0001,3609,238390,6 a 10 personas
01,001,0001,383A,238390,11 a 30 personas
01,005,0023,043A,238222,11 a 30 personas
01,001,0001,2263,236111,31 a 50 personas
01,001,0001,0835,236211,11 a 30 personas
01,001,0001,1299,236221,0 a 5 personas
01,001,0001,0587,238210,0 a 5 personas
01,001,0001,2051,236211,6 a 10 personas
01,001,0001,2066,236111,11 a 30 personas
01,001,0001,0835,236211,11 a 30 personas
01,001,0001,0534,238390,6 a 10 personas
01,001,0001,0286,236211,0 a 5 personas
01,001,0001,2278,236111,11 a 30 personas
01,001,0001,1320,236111,6 a 10 personas
01,005,0458,0035,236211,11 a 30 personas
01,001,0001,3295,238210,11 a 30 personas
01,001,0001,1477,238290,11 a 30 personas
01,001,0001,2475,238210,0 a 5 personas
01,001,0001,1636,238130,6 a 10 personas
01,001,0106,1763,236211,0 a 5 personas
01,001,0001,0290,238221,0 a 5 personas
01,005,0245,0603,236113,11 a 30 personas
01,001,0001,4147,236111,0 a 5 personas
01,001,0001,3098,236111,6 a 10 personas
01,001,0001,2390,236211,11 a 30 personas
01,001,0001,4753,238210,0 a 5 personas
01,001,0001,0290,236211,11 a 30 personas
01,001,0001,2475,237212,51 a 100 personas
01,001,0001,209A,236221,31 a 50 personas
01,001,0001,2386,236211,0 a 5 personas
01,001,0001,4448,236111,6 a 10 personas
01,001,0479,2757,237313,0 a 5 personas
01,001,0001,0977,238190,6 a 10 personas
01,001,0001,2263,236111,11 a 30 personas
01,001,0001,0163,236111,0 a 5 personas
01,001,0001,0163,236111,0 a 5 personas
01,011,0019,0155,236111,51 a 100 personas
01,011,0146,0102,237111,31 a 50 personas
01,001,0001,0591,236111,101 a 250 personas
01,001,0001,0407,236221,0 a 5 personas
01,001,0001,2704,237212,6 a 10 personas
01,001,0001,1975,237212,101 a 250 personas
01,001,0001,0233,237213,6 a 10 personas
01,001,0001,2051,236111,51 a 100 personas
01,001,0001,3365,236221,0 a 5 personas
01,001,0001,2070,236211,6 a 10 personas
01,001,0001,2070,238990,6 a 10 personas
01,001,0001,0888,236111,6 a 10 personas
01,001,0001,159A,237312,101 a 250 personas
01,005,0102,0035,237312,101 a 250 personas
01,005,0102,0035,236221,251 y más personas
01,001,0001,2386,237212,11 a 30 personas
01,001,0001,198A,237111,11 a 30 personas
01,001,0001,2808,238390,0 a 5 personas
01,001,0001,084A,238190,31 a 50 personas
01,001,0001,0290,237312,11 a 30 personas
01,001,0001,0290,237212,0 a 5 personas
01,001,0001,1458,238210,11 a 30 personas
01,001,0001,2259,236221,11 a 30 personas
01,001,0001,1000,236211,31 a 50 personas
01,001,0001,1316,238210,0 a 5 personas
01,001,0001,1477,236211,51 a 100 personas
01,001,0001,1477,236211,101 a 250 personas
01,005,0113,0035,237212,11 a 30 personas
01,005,0307,0035,236111,31 a 50 personas
01,001,0001,3717,236111,11 a 30 personas
01,011,0138,0210,236111,0 a 5 personas
01,001,0001,1316,236111,0 a 5 personas
01,001,0001,1481,236111,0 a 5 personas
01,001,0001,4467,236111,0 a 5 personas
01,001,0001,1481,236111,11 a 30 personas
01,001,0001,4626,236111,11 a 30 personas
01,005,0479,0035,236111,31 a 50 personas
01,001,0001,1462,236111,11 a 30 personas
01,001,0992,1763,236111,0 a 5 personas
01,001,0001,2009,236221,11 a 30 personas
01,001,0001,3280,236111,0 a 5 personas
01,001,0001,2259,236111,0 a 5 personas
01,001,0001,2259,236111,0 a 5 personas
01,001,1025,3952,236111,101 a 250 personas
01,001,1025,3952,236111,101 a 250 personas
01,001,0001,0638,237213,6 a 10 personas
01,005,0245,0590,236112,101 a 250 personas
