model_name,split_name,fold,pr_auc,roc_auc,f1,precision,recall,threshold
random_forest,cv,1,0.943590528300901,0.8124836087070548,0.8925619834710744,0.9152542372881356,0.8709677419354839,0.6577115199615201
random_forest,cv,2,0.9489085749104071,0.8365508365508367,0.9032258064516129,0.8983957219251337,0.9081081081081082,0.6682310405643741
random_forest,cv,3,0.967965450670314,0.8779922779922781,0.9005524861878453,0.9209039548022598,0.8810810810810811,0.6633546176046179
random_forest,cv,4,0.9476998447650793,0.8407979407979409,0.9,0.8769230769230769,0.9243243243243243,0.6413897306397304
random_forest,cv,5,0.9473351428737931,0.8243902439024391,0.912,0.9,0.9243243243243243,0.6392764550264552
lightgbm,cv,1,0.947522008754863,0.819564647259376,0.9148936170212766,0.9052631578947369,0.9247311827956989,0.6409270337753895
lightgbm,cv,2,0.9248795539095831,0.7866151866151866,0.8888888888888888,0.8913043478260869,0.8864864864864865,0.7978913598314522
lightgbm,cv,3,0.9529626908924305,0.8341055341055341,0.8888888888888888,0.8913043478260869,0.8864864864864865,0.6344464171570048
lightgbm,cv,4,0.95259775969909,0.8319819819819821,0.900804289544236,0.8936170212765957,0.9081081081081082,0.7443807002515582
lightgbm,cv,5,0.9277662024771334,0.7847066578773896,0.9095744680851063,0.8952879581151832,0.9243243243243243,0.7001904966262676
