model_name,split_name,fold,pr_auc,roc_auc,f1,precision,recall,threshold
random_forest,cv,1,0.85913189348263,0.9535507246376812,0.7058823529411765,0.8571428571428571,0.6,0.4773968253968254
random_forest,cv,2,0.8894505609319382,0.9694927536231884,0.8448275862068966,0.875,0.8166666666666667,0.41386507936507944
random_forest,cv,3,0.788377150311341,0.9521739130434783,0.7652173913043478,0.7857142857142857,0.7457627118644068,0.4036269841269841
random_forest,cv,4,0.809155237327953,0.9450509461426492,0.7454545454545455,0.82,0.6833333333333333,0.4694285714285714
random_forest,cv,5,0.8476973408266754,0.9566229985443958,0.7454545454545455,0.82,0.6833333333333333,0.461936507936508
lightgbm,cv,1,0.895661488607802,0.9671014492753623,0.5542168674698795,1.0,0.38333333333333336,0.9980436447903324
lightgbm,cv,2,0.9075103807381305,0.977463768115942,0.45569620253164556,0.9473684210526315,0.3,0.9979848121396846
lightgbm,cv,3,0.8226501427887286,0.9562269712601326,0.4358974358974359,0.8947368421052632,0.288135593220339,0.9978641519122013
lightgbm,cv,4,0.8267502772073421,0.9521106259097525,0.4444444444444444,0.8571428571428571,0.3,0.99868543357951
lightgbm,cv,5,0.8954092453587339,0.966593886462882,0.5121951219512195,0.9545454545454546,0.35,0.9978731117786057
