feature_name,mean_abs_shap,rank_position
min_stop_dist_m,0.17410977591909668,1
stops_400m,0.07448968221696138,2
stops_800m,0.036844816513688816,3
route_km_800m,0.018301880567557653,4
employment_proxy,0.008132883709295985,5
slope_mean,0.0018529408570373382,6
