cve_ageb,total_demand,vehicle_rate,transit_propensity,transit_demand
1400200020219,6.583054836979799,0.6,0.4,2.6332219347919197
1400200020045,14180.634501387758,0.47914893617021276,0.5208510638297872,7385.998565829198
1400200020172,0.0,0.0,1.0,0.0
1400200020261,138.01858801325915,0.47368421052631576,0.5263157894736843,72.64136211224167
1400200020149,16.34982018351183,0.0,1.0,16.34982018351183
1400200020242,1.126285548668856,0.0,1.0,1.126285548668856
1400200020223,110.63278414269529,0.42857142857142855,0.5714285714285714,63.21873379582588
1400200020327,26.861990998967837,0.6666666666666666,0.33333333333333337,8.953996999655947
1400200020153,730.7180058696364,0.4065934065934066,0.5934065934065934,433.61288260396003
1400200020257,80.22139523535684,0.4666666666666667,0.5333333333333333,42.784744125523645
1400200020238,63.46151761329959,0.6111111111111112,0.38888888888888884,24.679479071838728
1400200020276,0.9953725495891903,0.0,1.0,0.9953725495891903
1400200020331,0.0,0.0,1.0,0.0
1400200020204,455.79391502848915,0.45454545454545453,0.5454545454545454,248.61486274281225
1400200020100,2965.3011310260445,0.4689655172413793,0.5310344827586206,1574.6771523379682
1400200010134,1.6976337632916279,0.0,1.0,1.6976337632916279
1400200010030,18291.418507713,0.5363724539282251,0.4636275460717749,8480.405476902824
1400200010083,262.0119928093854,0.5833333333333334,0.41666666666666663,109.17166367057723
1400200010064,14544.358489935454,0.5015151515151515,0.49848484848484853,7250.142338164795
1400200010168,7.56072037243101,1.0,0.0,0.0
1400200010295,0.0,0.0,1.0,0.0
1403900015205,13150.596742543365,0.6492805755395683,0.3507194244604317,4612.169720856036
1400200010079,3061.8613830409968,0.6690647482014388,0.3309352517985612,1013.2778677689631
1400200010308,19.169630958939717,1.0,0.0,0.0
1400200010191,171.51681897700354,0.7619047619047619,0.23809523809523814,40.83733785166751
1400200010280,147.36246762524985,0.5,0.5,73.68123381262492
1400200040187,12332.883573783103,0.49375,0.50625,6243.522309227696
1400200010312,3.134914416193374,0.0,1.0,3.134914416193374
1400200010098,53.165947102549175,0.4666666666666667,0.5333333333333333,28.355171788026226
1400200010115,543.9254848499738,0.4852941176470588,0.5147058823529411,279.9616466139571
1403900012696,28191.653495929837,0.7835365853658537,0.2164634146341463,6102.461579911641
1403900014207,12674.119585692048,0.4508723599632691,0.5491276400367309,6959.709377634384
1403900013020,15672.210277042283,0.5889464594127807,0.4110535405872193,6442.117523205636
1403900014194,10468.366401721818,0.4768361581920904,0.5231638418079096,5476.67078417763
1403900015243,9462.723129407488,0.48612652608213097,0.513873473917869,4862.642407231594
1403900015084,12918.938651269174,0.5446247464503042,0.45537525354969577,5882.964963914665
1403900011927,16662.022332017368,0.4791386271870794,0.5208613728129206,8678.603825694106
1403900011838,12499.324639407252,0.49295774647887325,0.5070422535211268,6337.685732657198
1403900013088,32748.100513454607,0.860345932094811,0.13965406790518897,4573.405452871943
1403900012408,66440.6945854727,0.5595667870036101,0.44043321299638993,29262.688589991587
1403900015328,3694.4476914085076,0.608955223880597,0.391044776119403,1444.6944703716852
1403900012802,28808.610211084542,0.5314285714285715,0.4685714285714285,13498.891641765327
1403900014353,14006.704931684662,0.5587229190421893,0.4412770809578107,6180.837866091179
1403900011700,13217.816116916487,0.4538590604026846,0.5461409395973154,7218.790513517309
1403900011325,58497.155586867375,0.626733921815889,0.37326607818411095,21835.00385083574
1403900011734,25218.259447548473,0.555045871559633,0.44495412844036697,11220.96865326698
1403900012268,21588.795607395405,0.6017021276595744,0.3982978723404256,8598.771356817915
1403900010609,41885.94547874043,0.9620637329286799,0.03793626707132014,1588.9964142162514
1403900011151,12254.07302656145,0.5023771790808241,0.49762282091917587,6097.906387227092
1403900012588,37388.34013359324,0.46455834242093785,0.5354416575790621,20019.27481526094
1403900013177,27564.441741435257,0.40384615384615385,0.5961538461538461,16432.64796124025
1403900010670,9193.663415295261,0.8007968127490039,0.19920318725099606,1831.407054839694
1403900014809,12041.059421053485,0.617120106171201,0.38287989382879895,4610.2795527192175
1403900014404,12303.807618502598,0.4062186559679037,0.5937813440320963,7305.771424426818
1403900015489,38687.53229753323,0.6,0.4,15475.012919013294
1403900015031,9966.224010143902,0.7170781893004116,0.28292181069958844,2819.662142787626
1403900012501,13351.506278871362,0.588495575221239,0.41150442477876104,5494.203911216976
1403900015652,36813.60733161124,0.7908101571946796,0.20918984280532038,7701.0327307965445
1403900014391,13515.8720752213,0.4533333333333333,0.5466666666666666,7388.67673445431
1403900010435,31229.069956752934,0.6502115655853314,0.34978843441466856,10923.56748839877
1403900012554,146761.12703047006,1.0,0.0,0.0
1403900010882,16083.752105010502,0.4583002382843527,0.5416997617156474,8712.564682777731
1403900011359,84698.13529550901,0.40414507772020725,0.5958549222797928,50467.80082374889
1403900010469,17335.12290400939,0.5136944613511869,0.4863055386488131,8430.166281377664
1403900013374,22652.229346888736,0.46522948539638387,0.5347705146036161,12113.744344754825
1403900012446,28616.864437768243,0.6048237476808905,0.39517625231910947,11308.705241641253
1403900010774,11746.054706866706,0.6494117647058824,0.35058823529411764,4118.028591348562
1403900015347,38914.154980006904,0.33419354838709675,0.6658064516129032,25909.29544475298
1403900012126,18790.472673103926,0.5014836795252225,0.49851632047477745,9367.357296977625
1403900010967,15648.11689298588,0.5475285171102662,0.4524714828897338,7080.326655001215
1403900010810,19847.27838204414,0.4759916492693111,0.524008350730689,10400.139611467806
1403900012145,103342.48688916973,0.7611548556430446,0.23884514435695536,24682.851199250512
1403900014654,15369.305074339434,0.4327938071780436,0.5672061928219564,8717.565017535246
1403900014989,8078.531243783299,0.5915678524374176,0.4084321475625824,3299.5318650498325
1403900014796,8105.0091790545575,0.4221938775510204,0.5778061224489797,4683.123926162902
1403900010878,10123.934792127933,0.4444444444444444,0.5555555555555556,5624.408217848852
1403900015633,326.5180709431562,0.0,1.0,326.5180709431562
1403900010986,9786.033691998957,0.5221518987341772,0.4778481012658228,4676.237618645071
1403900014550,14988.23510292438,0.5024154589371981,0.4975845410628019,7457.9140850300055
1403900014029,13853.192049778352,0.5651629072681704,0.4348370927318296,6023.881755981313
1403900011077,19267.53407925844,1.0,0.0,0.0
1403900015188,11309.566738046226,0.5334075723830735,0.46659242761692654,5276.958199600634
1403900014014,14771.695620620932,0.5361702127659574,0.46382978723404256,6851.552436798645
1403900011429,13715.672740144062,0.3197158081705151,0.6802841918294849,9330.5553454266
1403900012681,17076.01218115182,0.8102893890675241,0.18971061093247588,3239.5007031767113
1403900012361,6430.909096800393,0.5369458128078818,0.4630541871921182,2977.859384725305
1403900010929,34531.97229247984,1.0,0.0,0.0
1403900011217,20645.27681753171,0.46824887748556765,0.5317511225144324,10978.149122343675
1403900011448,17744.178495107477,0.4489003880983182,0.5510996119016818,9778.809882167898
1403900011128,11202.95786113479,0.5491803278688525,0.4508196721311475,5050.513789855847
1403900011556,41474.10356537771,0.7790893760539629,0.2209106239460371,9162.07009623015
1403900015525,12634.717045199368,0.447265625,0.552734375,6983.642429280119
1403900013800,18310.50639866479,0.4515477792732167,0.5484522207267832,10042.437896979678
1403900010539,12919.389080971829,0.46691176470588236,0.5330882352941176,6887.174326253365
1403900011698,10997.518939898766,0.4447031431897555,0.5552968568102445,6106.8877000369175
