cve_ageb,productions,attractions
1400200020219,52.5,0.0
1400200020045,11438.499999999998,2945.314506623499
1400200020172,0.0,1.4315137246479221
1400200020261,245.50000000000003,0.0
1400200020149,80.0,0.0
1400200020242,10.0,0.0
1400200020223,198.0,12.159555302574079
1400200020327,99.74999999999999,0.0
1400200020153,860.7499999999999,50.66481376072532
1400200020257,165.75,3.3776542507150213
1400200020238,143.24999999999997,12.159555302574077
1400200020276,20.0,0.0
1400200020331,0.0,0.0
1400200020204,585.75,38.505258458151246
1400200020100,3053.7500000000005,143.21254023031693
1400200010134,10.0,0.0
1400200010030,9084.25,9367.58629893304
1400200010083,366.0,52.01587546101133
1400200010064,12333.000000000002,2442.0440232669603
1400200010168,41.0,0.0
1400200010295,5.0,0.0
1403900015205,13092.499999999998,297.2335740629219
1400200010079,2748.4999999999995,756.5945521601648
1400200010308,45.0,24.319110605148154
1400200010191,172.74999999999997,255.3506613540556
1400200010280,251.75,3.3776542507150213
1400200040187,7733.75,4796.26903601533
1400200010312,22.5,0.0
1400200010098,127.0,15.537209553289097
1400200010115,684.5,17.56380210371811
1403900012696,16249.749999999998,12085.922439908489
1403900014207,12257.499999999998,730.2488490045876
1403900013020,10880.999999999998,4956.3698474992225
1403900014194,9496.25,1302.4234790757123
1403900015243,9204.750000000002,526.9140631115433
1403900015084,9761.0,3381.7074358158793
1403900011927,6489.5,10349.808155040968
1403900011838,1347.0,11321.897048396751
1403900013088,19720.25,13147.18140548315
1403900012408,4855.75,61736.76439456916
1403900015328,2839.25,1159.8864696955382
1403900012802,22713.750000000004,6222.990191517356
1403900014353,7427.500000000001,6749.904254628899
1403900011700,10935.000000000002,2526.485379534836
1403900011325,5969.25,52681.27334840219
1403900011734,13304.75,12047.417181450339
1403900012268,9974.5,11767.071878640993
1403900010609,4672.749999999999,37375.770876712144
1403900011151,5524.0,6910.005066112791
1403900012588,9242.25,28299.338374190735
1403900013177,19510.000000000004,8182.029656932068
1403900010670,1752.0,7626.067767264376
1403900014809,10844.75,1490.8965862656103
1403900014404,11118.75,1503.0561415681846
1403900015489,2726.25,36128.74092734815
1403900015031,7853.5,2376.517530803089
1403900012501,8301.25,5233.337496057854
1403900015652,5571.0,31401.37603804741
1403900014391,10554.75,3175.670526522263
1403900010435,19210.5,12136.587253669215
1403900012554,27.5,146770.56121802013
1403900010882,12141.75,4132.8977411749
1403900011359,1913.25,82931.54481780592
1403900010469,15638.75,1948.9065026625674
1403900013374,15563.749999999998,7228.855627380288
1403900012446,5201.5,23585.484101892853
1403900010774,8095.0,3841.7439447632655
1403900015347,8500.25,30567.770968970945
1403900012126,3123.7499999999995,15839.847374153165
1403900010967,8712.25,7108.611136054834
1403900010810,13468.25,6522.250358130706
1403900012145,3097.0,100393.34176315244
1403900014654,11818.499999999998,3738.3877246913853
1403900014989,7259.000000000001,1169.3439015975403
1403900014796,8091.0,295.88251236263585
1403900010878,9728.25,718.0892937020136
1403900015633,0.0,539.7491492642605
1403900010986,5069.749999999999,4902.327379487782
1403900014550,1968.25,13192.441972442732
1403900014029,8575.25,5452.209491504188
1403900011077,2145.0,17288.86104770991
1403900015188,9952.249999999998,1664.5080147523627
1403900014014,10065.250000000002,4880.710392283206
