CVEGEO,CVE_MUN,CVE_LOC,POB_TOTAL,IM_2020,GM_2020,IMN_2020,has_conapo
1403900014654,039,0001,4659.0,123.259452387848,Bajo,0.962856625335504,True
1403900014989,039,0001,2858.0,121.584545269931,Bajo,0.949772878944729,True
1403900014796,039,0001,3178.0,119.6243985112,Medio,0.934460947431879,True
1403900010878,039,0001,3822.0,120.549923601715,Medio,0.941690802408948,True
1403900015633,039,0001,,,,,False
1403900010986,039,0001,2000.0,122.770453805736,Bajo,0.959036751764392,True
140390001165A,039,0001,5944.0,122.763895716944,Bajo,0.95898552243373,True
1403900014550,039,0001,777.0,123.435615996965,Bajo,0.964232749396536,True
1403900014029,039,0001,3376.0,120.553909991559,Medio,0.941721942591689,True
1403900011077,039,0001,847.0,123.804384322082,Muy bajo,0.967113429280917,True
1403900015188,039,0001,3913.0,119.873249611489,Medio,0.936404878919431,True
1403900014014,039,0001,3969.0,121.005133837098,Medio,0.945246734084511,True
1403900011429,039,0001,1902.0,121.035161651146,Medio,0.945481300108787,True
1403900012681,039,0001,4038.0,124.425307021206,Muy bajo,0.971963844588553,True
140390001261A,039,0001,1880.0,123.5675368145,Bajo,0.965263265358785,True
1403900012361,039,0001,1590.0,120.656464201621,Medio,0.942523057627508,True
1403900010929,039,0001,2565.0,124.512606418497,Muy bajo,0.972645794746863,True
1403900011217,039,0001,5444.0,121.662504634192,Bajo,0.950381868267101,True
140390001457A,039,0001,869.0,122.542340100715,Bajo,0.957254813033083,True
1403900011448,039,0001,2753.0,121.216411146265,Bajo,0.94689715320429,True
1403900011128,039,0001,1632.0,123.302531526222,Bajo,0.963193143411748,True
1403900011556,039,0001,1636.0,124.429869530958,Muy bajo,0.971999485203998,True
1403900015525,039,0001,4780.0,119.634478871906,Medio,0.93453969143004,True
140390001140A,039,0001,4485.0,121.913445149876,Bajo,0.952342121484284,True
1403900013800,039,0001,5229.0,121.019621337493,Medio,0.945359905005439,True
1403900010539,039,0001,4087.0,122.141489223542,Bajo,0.954123516281552,True
1403900011698,039,0001,2957.0,122.157120478906,Bajo,0.954245621787441,True
140390001090A,039,0001,6708.0,119.263860670554,Medio,0.931644561006131,True
1403900010492,039,0001,5650.0,121.64380339485,Bajo,0.950235781197478,True
1403900014442,039,0001,4063.0,121.691062652267,Bajo,0.95060495279634,True
1403900010613,039,0001,1648.0,123.586434471348,Bajo,0.965410886768317,True
1403900011132,039,0001,1680.0,124.20786647035,Muy bajo,0.970265280535633,True
1403900014955,039,0001,2607.0,123.047780106917,Bajo,0.961203120844399,True
1403900013783,039,0001,5133.0,123.800959376147,Muy bajo,0.967086674887472,True
1403900012728,039,0001,3828.0,123.450670413898,Bajo,0.964350348856895,True
1403900013707,039,0001,3663.0,124.580852459574,Muy bajo,0.973178907230575,True
1403900014141,039,0001,1427.0,123.651112539361,Bajo,0.965916127584283,True
1403900010261,039,0001,5440.0,120.039236959153,Medio,0.937701509841639,True
1403900012018,039,0001,2060.0,118.584939911955,Alto,0.926341086604531,True
1403900015027,039,0001,3829.0,124.476185737367,Muy bajo,0.972361290041982,True
1403900013406,039,0001,4762.0,121.362056870173,Bajo,0.948034882988909,True
1403900011560,039,0001,822.0,123.205887668991,Bajo,0.962438197836139,True
1403900014090,039,0001,2730.0,122.496509402377,Bajo,0.956896800802108,True
1403900011607,039,0001,688.0,124.378635040422,Muy bajo,0.971599260574547,True
1403900014616,039,0001,3942.0,121.055446828755,Medio,0.945639760310245,True
1403900014565,039,0001,,,,,False
1403900014669,039,0001,2308.0,123.797721310101,Muy bajo,0.967061380329644,True
1403900010454,039,0001,7289.0,122.396752052758,Bajo,0.956117533791374,True
1403900013919,039,0001,3541.0,121.946078286122,Bajo,0.95259703930869,True
1403900011823,039,0001,486.0,124.493125899777,Muy bajo,0.972493620238939,True
1403900014264,039,0001,2866.0,119.169928394276,Medio,0.930910797284205,True
1403900012427,039,0001,1837.0,123.879361362068,Muy bajo,0.967699121804284,True
1403900010346,039,0001,3132.0,122.535960941728,Bajo,0.957204981434976,True
1403900014298,039,0001,6517.0,119.784540245654,Medio,0.935711914615528,True
1403900012639,039,0001,4945.0,122.942754152086,Bajo,0.960382697465236,True
1403900011109,039,0001,2210.0,123.524881796575,Bajo,0.964930060352459,True
140390001037A,039,0001,1895.0,124.635820102917,Muy bajo,0.973608293849991,True
1403900010971,039,0001,2335.0,122.042934263927,Bajo,0.953353641890692,True
1403900010666,039,0001,5070.0,122.749827987938,Bajo,0.958875630609496,True
1403900013209,039,0001,5999.0,123.425282975166,Bajo,0.964152031704663,True
1403900010647,039,0001,3054.0,123.406947097983,Bajo,0.964008798707231,True
1403900011950,039,0001,2286.0,123.464547272454,Bajo,0.964458749672743,True
1403900010721,039,0001,2864.0,123.293112063388,Bajo,0.963119562099967,True
1403900012785,039,0001,5136.0,121.071586073039,Medio,0.945765834035103,True
1403900014940,039,0001,893.0,125.664598195694,Muy bajo,0.981644722565522,True
1403900010740,039,0001,2571.0,123.739082259414,Muy bajo,0.966603314052669,True
1403900011433,039,0001,5008.0,121.177610466194,Bajo,0.946594056840077,True
1403900012395,039,0001,2027.0,122.958595820144,Bajo,0.960506446636199,True
1403900013586,039,0001,4397.0,122.137106511093,Bajo,0.954089280175218,True
1403900014936,039,0001,2345.0,121.952309059586,Bajo,0.952645711774733,True
1403900014033,039,0001,2004.0,123.810377312212,Muy bajo,0.967160244272712,True
1403900015510,039,0001,2659.0,119.866957696122,Medio,0.936355728835773,True
1403900015120,039,0001,3491.0,121.806024075607,Bajo,0.951502988330138,True
1403900010736,039,0001,2327.0,124.584669256423,Muy bajo,0.973208722616437,True
1403900012003,039,0001,2235.0,121.396942568573,Bajo,0.948307396984246,True
1403900012253,039,0001,3334.0,123.278524323315,Bajo,0.963005608144253,True
