candidate_id,corridor_group,route_km,n_stops,connects_to_existing,n_served_agebs,total_demand,f1_demand_gain,f3_equity,composite_score,total_score,pareto_rank,feasible,mode_assignment
W6_G00,0,7.320387230475947,16,True,18,66041.1499440464,0.30092167334632536,0.3375387164448378,0.574303125536902,0.574303125536902,2,True,BRT
W6_G01,1,22.99664629663093,47,True,27,96838.91444131028,0.2695246240434388,0.3467759973397769,0.4145799042397919,0.4145799042397919,2,True,Light Rail/Metro
W6_G02,2,12.13288281397869,25,True,25,192356.69935135217,0.1643216451998644,0.26518245423274467,0.37950990197489476,0.37950990197489476,3,True,Light Rail/Metro
W6_G03,3,2.439209000325717,6,True,5,35784.26014597678,0.35744372868111973,0.3488200754856625,0.6743220058831544,0.6743220058831544,1,True,BRT
W6_G05,5,5.3951408339581794,12,True,14,80234.29973955415,0.12476622404379249,0.27063831539849237,0.3974662959437641,0.3974662959437641,2,False,Light Rail/Metro
