cluster,npp_score_mean,npp_score_median,npp_score_count,equity_score_mean,equity_score_median,equity_score_count,final_score_mean,final_score_median,final_score_count
0,0.3639092853479356,0.39839209136184994,431,0.47002284495734065,0.5535173124235161,431,0.3851319972698167,0.441977147813018,431
1,0.6241804738431818,0.635667755003806,404,0.5531407501681396,0.5590887201053425,404,0.6099725291081733,0.6191367736843674,404
2,0.4977468036906225,0.5449211040440674,1046,0.5412634943871684,0.5629475584917315,1046,0.5064501418299318,0.5517358167654696,1046
