Cluster,n_intersections_n,n_street_density_n,n_intersection_density_n,p_poi_density_n,p_employment_proxy_n,p_retail_density_n,p_service_density_n,p_land_use_mix_n,pe_population_n,pe_pop_density_n,pe_marginacion_n,pe_rezago_n,pe_dep_ratio_n,pe_youth_share_n,v_ridership_annual_n
0,0.009170593794588493,0.05187620129389198,0.0003246535134858804,0.43055445177513413,0.22416494092495576,0.3544438642867054,0.19145262501006852,0.44564770146227867,0.6108546079540388,0.7409458681149912,0.7219614417972744,0.21758107122696993,0.15248832554384298,0.1699564354786988,0.0
1,0.7498779973593747,0.8925174856908554,0.7221159080066202,0.7006980197117204,0.6184999192932457,0.596564103775759,0.5869729425383979,0.7651365561439307,0.7984536377723358,0.8549931076405002,0.9454228945619356,0.1610546484333541,0.15095008141068553,0.17702853871581997,1.0
2,0.7365729094986884,0.8966884341891733,0.5446549125686682,0.5353686226356966,0.38884794357390773,0.45116330178292724,0.32382126828191393,0.6278603845141155,0.7379754134672754,0.8129888302166369,0.8813753442416524,0.2009721688636339,0.1565535499782857,0.19075513763613441,0.0
